,Tên Sách,Ảnh bìa,Thể loại,Tác giả,Nội dung tóm tắt,Giá bìa,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,Nhà xuất bản,Dịch Giả,Phiên bản,Lưu ý,Thương hiệu,Xuất xứ thương hiệu,Xuất xứ,Chất liệu,Model,Trọng lượng,Size người mẫu mặc
43,Từ Điển Dệt-May Anh-Việt,https://salt.tikicdn.com/cache/280x280/ts/product/4c/7e/28/e6954c4f5d0b4041b78bb1abdf11b2c0.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Từ Điển Dệt, May Anh - Việt được xuất bản nhằm đáp ứng nhu cầu đông đảo bạn đọc sử dụng những tài liệu bằng tiếng Anh thuộc lĩnh vực vật liệu, sợi, dệt, nhộm, xử lý hoá học, cắt, may... cũng như các l...",160000,NXB Khoa Học Kỹ Thuật,,,Bìa cứng,816,,,,,,,,,,,
44,Văn Bia Hán Nôm Thời Mạc - Tư Liệu Và Khảo Cứu,https://salt.tikicdn.com/cache/280x280/ts/product/fc/10/d3/b2c825cceae1358b13fdb18471666bd7.jpg,Nhiều ngôn ngữ,Đinh Khắc Thuân,"Văn Bia Hán Nôm Thời Mạc - Tư Liệu Và Khảo CứuTác giả: Đinh Khắc ThuânNXB: NXB Đại học Quốc gia Hà NộiNăm XB: 3/2021 - Số trang: 752 - Sách Bìa CứngBộ ""Tùng thư văn bia Việt Nam"" này là kết quả củ...",475000,Trung Tâm Kinh Doanh Xuất Bản Và Phát Hành Sách,2021-03-24 20:28:06,,Bìa cứng,752,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Lần thứ nhất,,,,,,,,
45,Từ Điển Nga - Việt (Bỏ Túi),https://salt.tikicdn.com/cache/280x280/ts/product/f5/52/7c/5ac29401ca829119d42ce640e7061b61.jpg,Nhiều ngôn ngữ,"PGS.TS KH Nguyễn Ngọc Hùng,ThS. Trần Bích Thư","Từ Điển Nga - Việt (Bỏ Túi) bao gồm những mục từ hiện đại, ngôn ngữ hội thoại cũng như quán từ thông dụng.Mỗi mục từ đều có những giải thích ngữ pháp cơ bản, một số lượng lớn các ví dụ, các tập hợp t...",96000,Huy Hoàng Bookstore,2018-01-10 00:00:00,11 x 18 cm,Bìa mềm,444,Nhà Xuất Bản Khoa Học Xã Hội,,,,,,,,,,
46,Từ Điển Bách Khoa Việt Nam - Tập 4,https://salt.tikicdn.com/cache/280x280/ts/product/f4/41/c3/423ade27664d35bb6cb76322635238e1.jpg,Nhiều ngôn ngữ,Hội Đồng Quốc Gia Chỉ Đạo Biên Soạn Từ Điển Bách Khoa Việt Nam,"Từ điển bách khoa Việt Nam được biên soạn lần đầu tiên ở Việt Nam là bộ từ điển bách khoa tổng hợp nhiều chuyên ngành, cỡ trung bình, có tính chất thông dụng, dùng cho đông đảo bạn đọc, chủ yếu cho nh...",719500,Nhà Sách Hồng Ân,2019-09-01 00:00:00,19 x 27 cm,Bìa cứng,1167,,,,,,,,,,,
47,Từ Điển Nga - Việt,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/u/tu-dien-nga-viet_1.jpg,Nhiều ngôn ngữ,PGS.Tiến sĩ Nguyễn Trọng Báu,"Từ Điển Nga - Việt Cuốn từ điển Nga- Việt này dành cho đối tượng là người Việt học và tra cứu tiếng Nga: học sinh, sinh viên, người tự học tiếng Nga hoặc học có hướng dẫn. Với quan điểm đó, mục từ củ...",138600,Huy Hoàng Bookstore,2015-12-02 00:00:00,11 x 18 cm,Bìa cứng,1008,Nhà Xuất Bản Thế Giới,,,,,,,,,,
48,Từ Điển Triết Học Habermas,https://salt.tikicdn.com/cache/280x280/ts/product/64/3a/74/d4642f3c7f9fabad3e908f4d0471dd81.jpg,Nhiều ngôn ngữ,Andrew Edgar,"Từ Điển Triết Học HabermasJürgen Habermas (1929-) là một trong những nhà tư tưởng ảnh hưởng nhất của thời đại chúng ta, người bảo vệ mang tư tưởng độc lập cho “dự án tính hiện đại” ở thời kỳ được cho...",108000,Viện Nghiên Cứu Phát Triển Giáo Dục Ired,2018-09-20 00:00:00,16 x 24cm,Bìa mềm,236,Nhà Xuất Bản Tổng hợp TP.HCM,Nguyễn Đắc Kiên,,,,,,,,,
49,Tự Học Hán Văn (Tái Bản 2020),https://salt.tikicdn.com/cache/280x280/ts/product/7a/56/07/1aceb1c4a80189ab79dc707b614a5071.jpg,Nhiều ngôn ngữ,Nguyễn Khuê,"Hán văn có quan hệ mật thiết với ngôn ngữ, học thật nước nhà và là phương tiện tiện tiếp thu văn chương, tư tưởng Trung Quốc. Bởi những lẽ đó, môn Hán văn đã và đang được giảng dạy ở một số trường Đại...",63749,Nhà Sách Hồng Ân,2020-01-01 00:00:00,17x24,Bìa mềm,336,Nhà Xuất Bản Đà Nẵng,,,,,,,,,,
50,Từ Điển Khoa Học Và Công Nghệ Anh Việt,https://salt.tikicdn.com/cache/280x280/ts/product/f2/f4/ca/81c74dfc6730d82546442c0b64235a75.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Từ Điển Khoa Học Và Công Nghệ Anh Việt Gồm khoảng 125,000 thuật ngữ, bao quát nhiều chủ đề trong khoa học và công nghệ. Điểm đặc biệt ở đây là mỗi thuật ngữ đều có phần đối chiếu tiếng việt được đưa r...",380000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,1664,,,,,,,,,,,
51,Phật Học Từ Điển,https://salt.tikicdn.com/cache/280x280/ts/product/e9/21/95/a00b170811237191042eb59f3df10a6f.jpg,Nhiều ngôn ngữ,Đoàn Trung Còn,"Cuốn sách được trình bày như sau:Phần thứ nhất là phần tra cứu theo chữ Pháp, chữ Phạn, chữ Hán, chữ Tây Tạng, bốn thứ danh từ này âm theo chữ La mã ( u Mỹ).Phần thứ hai là phần quan trọng, phần c...",336000,Nhà Sách Hồng Ân,2012-06-01 00:00:00,16x24,Bìa cứng,1560,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,,,,,,
52,Từ Điển Tâm Lý - Tính Cách Và Cảm Xúc Đến Từ Đâu ?,https://salt.tikicdn.com/cache/280x280/ts/product/f8/cd/35/b7f308316a5dc8de100631c979d65169.jpg,Nhiều ngôn ngữ,Shozo Shibuya,"""“Tính cách” và “cảm xúc” là những từ ngữ vô cùng quen thuộc, nhưng để bóc tách và phân tích từng loại tính cách và cảm xúc thì không phải chuyện dễ dàng gì.Khi giao tiếp với người khác, chúng ta luô...",110500,Read Books,,14 x 20.5 cm,Bìa mềm,448,Nhà Xuất Bản Thế Giới,Trần Thị Thu Hằng,,,,,,,,,
53,Từ Điển Việt - Nga (Tái Bản 2015),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img363_13.jpg,Nhiều ngôn ngữ,TS. Bùi Hiền,"Từ Điển Việt - Nga Kể từ khi quyển Từ điển Việt - Nga đầu tiên trong lịch sử từ điển học Xô - viết do tập thể tác giả Liên Xô biên soạn, giáo sư Ô-sa-nhin I.M. và Vũ Đăng Ất hiệu đính (Ma-xcơ-va, 196...",138600,Huy Hoàng Bookstore,2015-09-15 00:00:00,11 x 18 cm ,Bìa mềm,1117,Nhà Xuất Bản Thế Giới,,,,,,,,,,
54,Từ Điển Môi Trường Và Phát Triển Bền Vững Anh Việt Và Việt Anh,https://salt.tikicdn.com/cache/280x280/ts/product/02/43/dd/207fd01a395f6349ee816e4706b3e8df.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,Từ điển gồm hơn 2500 thuật ngữ tiếng Anh (kèm giải thích) thuộc hai lĩnh vực lớn có liên quan mật thiết với nhau:Khoa học và quản lý môi trường.Phát triển bền vững.Phần đối chiếu Việt - Anh giúp ch...,100000,NXB Khoa Học Kỹ Thuật,,,Bìa cứng,486,,,,,,,,,,,
55,Từ Điển Usborne Vật Lý Minh Họa - Sách Song Ngữ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/9/6/96-001.u5618.d20170923.t150213.647579.jpg,Nhiều ngôn ngữ,Nhiều Tác Giả," Từ Điển Usborne Vật Lý Minh Họa - Sách Song Ngữ  Được thành lập bởi Peter Usborne năm  1973, Usborne hiện là Nhà xuất bản sách thiếu nhi lớn nhất và thành công nhất tại     Anh. Tính đến nay, Nhà xu...",160000,Edibooks,2017-01-01 00:00:00,17 x 24 cm,Bìa mềm,251,Nhà Xuất Bản Giáo Dục Việt Nam,"Phạm Văn Thiều, Đặng Văn Sử",,,,,,,,,
56,Tam Tự Kinh ( Trình Bày: Việt - Hán - Nôm ),https://salt.tikicdn.com/cache/280x280/ts/product/21/b5/68/365980791eaae1e11a1eda0037aba36f.jpg,Nhiều ngôn ngữ,Đoàn Trung Còn,"Tam Tự Kinh là sách học vỡ lòng của con trẻ Trung Quốc và cả Việt Nam, được biên soạn từ đời tống (960 – 1279), đến các đời Minh, Thanh lại được bổ sung. Nội dung của sách chỉ hơn một ngàn chữ (1000),...",30000,Công ty TNHH TM & DV Văn Hóa Hương Trang,,,Bìa mềm,106,Nhà Xuất Bản Đà Nẵng,,,,,,,,,,
57,"Từ Điển An Toàn Thông Tin Anh-Việt, Việt-Anh",https://salt.tikicdn.com/cache/280x280/ts/product/1b/d6/23/1d9088dd83b5f348681308b81079d889.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Cuốn sách ""Từ điển an toàn thông tin Anh Việt - Việt Anh"" do ban Từ điển của NXB Khoa học và Kỹ thuật tổ chức biên soạn dựa trên những từ điển giải thích tiếng Anh mới nhất và những từ điển chuyên ngà...",165000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,848,,,,,,,,,,,
58,Từ Điển Việt - Nga,https://salt.tikicdn.com/cache/280x280/media/catalog/product/t/u/tu-dien-viet-nga.u5464.d20170725.t154721.893693.jpg,Nhiều ngôn ngữ,TS.Bùi Hiển,"Cuốn Từ Điển Nga - Việt này dành cho đối tượng là người Việt học và tra cứu tiếng Nga: học sinh, sinh viên, người tự học tiếng Nga hoặc học có hướng dẫn. Với quan điểm đó, mục từ của Từ điển được lựa ...",336000,Huy Hoàng Bookstore,2017-07-25 00:00:00,10 x 18 cm,Bìa mềm,1453,Nhà Xuất Bản Bách Khoa Hà Nội,,,,,,,,,,
59,Từ Điển Cơ Khí Và Công Trình Anh -Việt 40.000 Từ,https://salt.tikicdn.com/cache/280x280/ts/product/6d/e2/8f/d8d08c0cfb8cba68629d52fe8d9e3c3c.jpg,Nhiều ngôn ngữ,Cung Kim Tiến,"Cuốn từ điển Anh-Việt cơ khí và công trình gồm khoảng 40.000 thuật ngữ thuộc các lĩnh vực cơ khí, máy, công trình giao thông, vận tải, thuỷ lợi, xây dự Trong quá trình biên soạn tác giả cố gắng chọn n...",99000,Công ty MTV DV - VH Khang Việt,2020-05-01 00:00:00,10 x 18 cm,Bìa mềm,1152,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
60,Từ Điển Toán Học Và Tin Học Anh-Việt,https://salt.tikicdn.com/cache/280x280/ts/product/4d/5b/fd/7c2a8954e93ea37a3600769f6c0078d3.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,Cuốn Từ điển Toán học và Tin học Anh - Việt này được Ban Từ điển của Nhà xuất bản Khoa học và Kỹ thuật tổ chức biên soạn dựa trên những từ điển giải nghĩa Anh - Anh gần đây nhất và các từ điển chuyên ...,280000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,1336,,,,,,,,,,,
61,Từ Điển Usborne Toán Minh Họa (Dùng Cho Học Sinh THCS),https://salt.tikicdn.com/cache/280x280/media/catalog/product/9/4/94-001.u5618.d20170923.t150137.659108.jpg,Nhiều ngôn ngữ,Kirsteen Rogers," Từ Điển Usborne Toán Minh Họa (Dùng Cho Học Sinh THCS)  Được thành lập bởi Peter Usborne năm  1973, Usborne hiện là Nhà xuất bản sách thiếu nhi lớn nhất và thành công nhất tại     Anh. Tính đến nay,...",128000,Edibooks,2017-01-01 00:00:00,17 x 24 cm,Bìa mềm,270,Nhà Xuất Bản Giáo Dục Việt Nam,"Hoàng Phương Thảo, Nguyễn Chí Thành, Nguyễn Huyền Trang",,,,,,,,,
62,"Từ Điển Đức-Việt, Việt-Đức",https://salt.tikicdn.com/cache/280x280/ts/product/58/41/b1/2a29fb39a9c8ec6acfb7abfddb228b64.jpg,Nhiều ngôn ngữ,"Vĩnh Quyền, Như Quỳnh","Cuốn sách này là công trình được thực hiện trong nhiều năm qua của các tác giả và những người cộng sự. Chúng tôi hy vọng sách sẽ giúp ích cho các độc giả trong việc học và tra cứu tiếng Đức, đồng thời...",158400,Nguyễn Đức Huy,,,,,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
63,Từ Điển Khoa Học Và Kỹ Thuật Tổng Hợp,https://salt.tikicdn.com/cache/280x280/ts/product/f5/13/57/7925ed9b2a463ac6c41756e90ead8593.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Cuốn từ điển có khoảng 120.000 thuật ngữ bao gồm nhiều ngành kỹ thuật, công nghệ và một số ngành liên quan. Những thuật ngữ mượn tiếng nước ngoài đã thông dụng trong tiếng Việt được giữ nguyên, các th...",85000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,316,,,,,,,,,,,
64,Từ Điển Cơ Khí Và Máy Xây Dựng Việt Anh,https://salt.tikicdn.com/cache/280x280/ts/product/b8/30/0d/c9fe1cafa7cc2a729b7b85c5f079442b.jpg,Nhiều ngôn ngữ,Cung Kim Tiến,"Từ Điển Cơ Khí Và Máy Xây Dựng Việt AnhTừ Điển Cơ Khí Và Máy Xây Dựng Việt Anh gồm khoảng 28000 thuật ngữ thuộc các lĩnh vực liên quan đến chi tiết máy, nguyên lý cắt gọt, máy công cụ, cơ khí chế tạo....",79000,Công ty MTV DV - VH Khang Việt,2020-03-01 00:00:00,10 x 18 cm,Bìa mềm,576,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
65,Tự Điển Chữ Nôm Dẫn Giải - Gồm 2 Tập (Tập 1 + Tập 2)(Tái Bản),https://salt.tikicdn.com/cache/280x280/ts/product/60/58/87/23bd4c4603798713fa6ebb6d29d570c9.jpg,Nhiều ngôn ngữ,Nguyễn Quang Hồng,"Chữ Nôm là thứ văn tự cổ truyền của dân tộc Việt Nam, được sáng tạo theo hình mẫu chữ Hán. Trải qua nhiều thế kỷ, chữ Nôm đã đồng hành cùng chữ Hán (từ thế kỷ XII) và sau đó cả với chữ Quốc ngữ theo m...",1320000,Tri Thức Trẻ Books,2021-09-01 00:00:00,16 x 24 cm,Bìa cứng,2416,Nhà Xuất Bản Khoa Học Xã Hội,Nguyễn Quang Hồng,,,,,,,,,
66,Từ Điển Đông Y (Hán - Việt - Anh),https://salt.tikicdn.com/cache/280x280/ts/product/a6/a5/65/ec243020dd1127da5dfaa51b7856a552.jpg,Nhiều ngôn ngữ,GS BS Trần Văn Kỳ,"Nền Y học cổ truyền phương Đông đã trải qua hàng nghìn năm lịch sử đấu tranh với bệnh tật bảo vệ sức khỏe cho nhân dân, ông cha chúng ta đã biết kết hợp dịch lý với thực tiễn phòng trị bệnh, xây dựng ...",229600,Cty Văn Hóa Hương Trang,,,,,Nhà Xuất Bản Thuận Hóa,,,,,,,,,,
67,Từ Điển Toán Học Và Tin Học Việt-Anh,https://salt.tikicdn.com/cache/280x280/ts/product/91/d4/84/774e48e10e716a4060781d7fc6d0cf68.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,Cuốn Từ điển Toán học và Tin học Anh - Việt này được Ban Từ điển của Nhà xuất bản Khoa học và Kỹ thuật tổ chức biên soạn dựa trên những từ điển giải nghĩa Anh - Anh gần đây nhất và các từ điển chuyên ...,195000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,864,,,,,,,,,,,
68,Từ Điển Khoa Học Tổng Hợp Anh - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/84/29/af/f18434e84117543cff0cf3a72dc7510e.jpg,Nhiều ngôn ngữ,Ban Từ điển biên soạn,"Quyển ""Từ Điển Kỹ Thuật Tổng Hợp Anh - Việt "" bao gồm khoảng 120.000 thuật ngữ về các ngành khoa học kỹ thuật như: y học, sinh vật, toán học, hoá học, vật lý, tin học, kỹ thuật, địa chất, quân sự, hàn...",195000,NXB Khoa Học Kỹ Thuật,,,Bìa mềm,884,,,,,,,,,,,
69,Từ Điển Cơ Khí Và Máy Xây Dựng Anh - Việt,https://salt.tikicdn.com/cache/280x280/ts/product/1d/a4/88/d86f7a2cb1ff01cbd931b9f2df1f81db.jpg,Nhiều ngôn ngữ,Cung Kim Tuyến,TỪ ĐIỂN CƠ KHÍ VÀ MÁY XÂY DỰNG ANH - VIỆT ENGLISH - VIETNAMESE MECHANICAL AND CONSTRUCTION MACHINE DICTIONARYCuốn từ điển cơ khí và máy xây dựng Anh - Việt gồm khoảng 28000 thuật ngữ thuộc các lĩn...,99000,Công ty MTV DV - VH Khang Việt,,10 x 18 cm,Bìa mềm,1296,Nhà Xuất Bản Thanh Niên,,,,,,,,,,
70,Từ Điển Hóa Nhuộm Việt - Anh,https://salt.tikicdn.com/cache/280x280/ts/product/b9/53/9d/7d769c73bdbcaccf7a8452dfb82be76c.jpg,Nhiều ngôn ngữ,PGS. TS. Đặng Trấn Phòng,"Từ Điển Hóa Nhuộm Việt - AnhHiện tại, việc giao dịch trực tiếp bằng tiếng Anh, viết email trao đổi thương mại hay kỹ thuật, viết tóm tắt báo cáo khoa học hoặc công bố kết quả nghiên cứu bằng tiếng An...",200000,Trung Tâm Phát Hành Sách Và Văn Hóa Phẩm Khoa Học Và Kỹ Thuật,2017-03-01 00:00:00,24 x 16 cm,Bìa mềm,450,Nhà Xuất Bản Khoa học & kỹ thuật,,,,,,,,,,
