,Tên Sách,Ảnh bìa,Thể loại,Nội dung tóm tắt,Giá bìa,Kích thước,Số trang,Tác giả,Nhà Xuất Bản,Dịch giả,Nhà Phát Hành,Loại sản phẩm,Tên Sách.1,Ảnh bìa.1,Thể loại.1,Tác giả.1,Nội dung tóm tắt.1,Giá bìa.1,Công ty phát hành,Ngày xuất bản,Loại bìa,Số trang.1,Nhà xuất bản,Kích thước.1,Dịch Giả,Phiên bản
116,Môn Sử Không Chán Như Em Tưởng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/u/n/unnamed--1-.u5168.d20170515.t092451.689115.jpg,Chuyên đề,"Môn Sử Không Chán Như Em Tưởng là tập hợp những bài viết của học sinh trong giờ kiểm tra 45 phút hoặc bài tập về nhà, được tác giả khẳng định không phải là các bài ""Sử mẫu"". ""Tôi tôn trọng và mong muố...",63200.0,15 x 23 cm,292.0,Nguyễn Quốc Vương,,,,,Môn Sử Không Chán Như Em Tưởng,https://salt.tikicdn.com/cache/280x280/media/catalog/product/u/n/unnamed--1-.u5168.d20170515.t092451.689115.jpg,Chuyên đề,Nguyễn Quốc Vương,"Môn Sử Không Chán Như Em Tưởng là tập hợp những bài viết của học sinh trong giờ kiểm tra 45 phút hoặc bài tập về nhà, được tác giả khẳng định không phải là các bài ""Sử mẫu"". ""Tôi tôn trọng và mong muố...",63200.0,NXB Phụ Nữ Việt Nam,2017-05-15 00:00:00,,292.0,Nhà Xuất Bản Phụ Nữ,15 x 23 cm,,
117,Khám Phá Tư Duy Kỹ Thuật Giải Bất Đẳng Thức Bài Toán Min - Max,https://salt.tikicdn.com/cache/280x280/ts/product/05/0c/3a/708018dfa074c4e287f086abe43bb2c9.jpg,Chuyên đề,"Bạn đọc thân mến! Bất đẳng thức là một lĩnh vực truyền thống lâu đời của toán học sơ cấp mang trong mình vẻ đẹp rất riêng và thú vị, vì thế luôn cuốn hút được bạn đọc quan tâm. Và có thể nói bất đẳng...",210000.0,16 x 24 cm,734.0,Đặng Thành Nam,,,,,Khám Phá Tư Duy Kỹ Thuật Giải Bất Đẳng Thức Bài Toán Min - Max,https://salt.tikicdn.com/cache/280x280/ts/product/05/0c/3a/708018dfa074c4e287f086abe43bb2c9.jpg,Chuyên đề,Đặng Thành Nam,"Bạn đọc thân mến! Bất đẳng thức là một lĩnh vực truyền thống lâu đời của toán học sơ cấp mang trong mình vẻ đẹp rất riêng và thú vị, vì thế luôn cuốn hút được bạn đọc quan tâm. Và có thể nói bất đẳng...",210000.0,Khang Việt Book,2019-03-01 00:00:00,Bìa mềm,734.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,16 x 24 cm,,
118,Chiến Lược Giải Toán 5 (Song Ngữ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/g/t/gt5.u335.d20160804.t142518.980805.png,Chuyên đề,"Chiến Lược Giải Toán 5 (Song Ngữ) ""Bộ sách Chiến lược giải toán từ lớp 2 tới lớp 6 sẽ giúp học sinh phát triển kỹ năng tư duy toán học và mở mang hiểu biết của các em về các khái niệm và công thức to...",173550.0,,,Francis Teo,,,,,Chiến Lược Giải Toán 5 (Song Ngữ),https://salt.tikicdn.com/cache/280x280/media/catalog/product/g/t/gt5.u335.d20160804.t142518.980805.png,Chuyên đề,Francis Teo,"Chiến Lược Giải Toán 5 (Song Ngữ) ""Bộ sách Chiến lược giải toán từ lớp 2 tới lớp 6 sẽ giúp học sinh phát triển kỹ năng tư duy toán học và mở mang hiểu biết của các em về các khái niệm và công thức to...",173550.0,Công Ty CP XTTM Quốc Tế Quang Minh,2016-08-04 00:00:00,Bìa mềm,,,,,
119,Sinh Học Phân Tử Của Tế Bào - Tập 1: Cơ Sở Hóa Học Và Phân Tử (Ấn Bản 7),https://salt.tikicdn.com/cache/280x280/ts/product/67/62/4d/4db36d37bfde3e0fd95ad32f73d21d88.jpg,Chuyên đề,"Sinh Học Phân Tử của Tế Bào là một cuốn sách giáo khoa chuyên ngành dành cho sinh viên đại học và sau đại học, do GS. Harvey Lodish và các nhà khoa học hàng đầu thế giới biên soạn. Nội dung sách chứa ...",144400.0,<p>15.5 x 23 cm</p>,284.0,Nhiều Tác Giả,,,,,Sinh Học Phân Tử Của Tế Bào - Tập 1: Cơ Sở Hóa Học Và Phân Tử (Ấn Bản 7),https://salt.tikicdn.com/cache/280x280/ts/product/67/62/4d/4db36d37bfde3e0fd95ad32f73d21d88.jpg,Chuyên đề,Nhiều Tác Giả,"Sinh Học Phân Tử của Tế Bào là một cuốn sách giáo khoa chuyên ngành dành cho sinh viên đại học và sau đại học, do GS. Harvey Lodish và các nhà khoa học hàng đầu thế giới biên soạn. Nội dung sách chứa ...",144400.0,NXB Trẻ,2018-04-16 10:45:40,Bìa mềm,284.0,NXB Trẻ,<p>15.5 x 23 cm</p>,Nhiều dịch giả,
120,Chinh Phục Câu Hỏi Lí Thuyết Vật Lí Theo Chủ Đề (Ôn Thi THPT Quốc Gia),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img128.u4939.d20170328.t161807.260855.jpg,Chuyên đề,"Cuốn sách Chinh Phục Câu Hỏi Lí Thuyết Vật Lí Theo Chủ Đề (Ôn Thi THPT Quốc Gia) bao gồm phần hệ thống lại kiến thức, các đề thi trắc nghiệm, cách giải chi tiết giúp các em học sinh ôn lại kiến thức đ...",70000.0,17 x 24 cm,478.0,Ts. Trần Văn Lượng,,,,,Chinh Phục Câu Hỏi Lí Thuyết Vật Lí Theo Chủ Đề (Ôn Thi THPT Quốc Gia),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img128.u4939.d20170328.t161807.260855.jpg,Chuyên đề,Ts. Trần Văn Lượng,"Cuốn sách Chinh Phục Câu Hỏi Lí Thuyết Vật Lí Theo Chủ Đề (Ôn Thi THPT Quốc Gia) bao gồm phần hệ thống lại kiến thức, các đề thi trắc nghiệm, cách giải chi tiết giúp các em học sinh ôn lại kiến thức đ...",70000.0,Nhà Sách Hồng Ân,2016-01-25 00:00:00,Bìa mềm,478.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,17 x 24 cm,,
121,Chinh Phục Dạng Bài Đọc Hiểu Trong Kì Thi THPT Quốc Gia Ngữ Văn,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/_/1.u5131.d20170420.t160803.304129.jpg,Chuyên đề,Chinh Phục Dạng Bài Đọc Hiểu Trong Kì Thi THPT Quốc Gia Ngữ Văn Cuốn sách là những kinh nghiệm nhỏ sẽ giúp các bạn thực hiện ước mơ đại học của mình....,127190.0,20 x 30 cm,272.0,Nguyễn Thế Hùng,,,,,Chinh Phục Dạng Bài Đọc Hiểu Trong Kì Thi THPT Quốc Gia Ngữ Văn,https://salt.tikicdn.com/cache/280x280/media/catalog/product/1/_/1.u5131.d20170420.t160803.304129.jpg,Chuyên đề,Nguyễn Thế Hùng,Chinh Phục Dạng Bài Đọc Hiểu Trong Kì Thi THPT Quốc Gia Ngữ Văn Cuốn sách là những kinh nghiệm nhỏ sẽ giúp các bạn thực hiện ước mơ đại học của mình....,127190.0,Khang Việt Book,2017-03-17 00:00:00,Bìa mềm,272.0,Nhà Xuất Bản Thanh Hóa,20 x 30 cm,,2017
122,Hồ Chí Minh Đồng Hành Cùng Dân Tộc,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bia-1_hcmdonghanhcungdantoc.u4972.d20170530.t155614.383307.jpg,Chuyên đề,Hồ Chí Minh Đồng Hành Cùng Dân Tộc Hồ Chí Minh là một nhân vật lịch sử hấp dẫn cho những ai quan tâm nghiên cứu. Những ý kiến nhận xét về Hồ Chí Minh cũng đã nhiều và không ít những ý kiến khác nhau....,59500.0,16 x 24 cm,270.0,GS. TS. Mạch Quang Thắng,,,,,Hồ Chí Minh Đồng Hành Cùng Dân Tộc,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bia-1_hcmdonghanhcungdantoc.u4972.d20170530.t155614.383307.jpg,Chuyên đề,GS. TS. Mạch Quang Thắng,Hồ Chí Minh Đồng Hành Cùng Dân Tộc Hồ Chí Minh là một nhân vật lịch sử hấp dẫn cho những ai quan tâm nghiên cứu. Những ý kiến nhận xét về Hồ Chí Minh cũng đã nhiều và không ít những ý kiến khác nhau....,59500.0,NXB Tổng Hợp,2017-05-03 00:00:00,Bìa mềm,270.0,,16 x 24 cm,,
123,Thách Thức 201 Ô Chữ Số Kakuro - Tập 2 ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/1/41-kakuro.u5465.d20170808.t160512.490687.jpg,Chuyên đề,"Thách Thức 201 Ô Chữ Số Kakuro - Tập 2 là trò chơi ô chữ số cực kỳ lôi cuốn và hấp dẫn, có nguồn gốc từ Nhật Bản. Nhật Bản là nơi có hàng trăm thầy dạy trò chơi ô chữ số tận tụy tìm ra nhiều cách giả...",36000.0,,260.0,Alastair Chisholm,,,,,Thách Thức 201 Ô Chữ Số Kakuro - Tập 2 ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/1/41-kakuro.u5465.d20170808.t160512.490687.jpg,Chuyên đề,Alastair Chisholm,"Thách Thức 201 Ô Chữ Số Kakuro - Tập 2 là trò chơi ô chữ số cực kỳ lôi cuốn và hấp dẫn, có nguồn gốc từ Nhật Bản. Nhật Bản là nơi có hàng trăm thầy dạy trò chơi ô chữ số tận tụy tìm ra nhiều cách giả...",36000.0,Nhân Trí Việt,2006-08-16 00:00:00,Bìa mềm,260.0,Nhà Xuất Bản Tổng hợp TP.HCM,,Trần Văn Phúc,
124,Ôn Tập Tốt Nhất Cho Kỳ Thi THPT Quốc Gia 2017 - Môn Toán,https://salt.tikicdn.com/cache/280x280/media/catalog/product/m/o/mon-toan.u4939.d20170316.t153255.913239.jpg,Chuyên đề,"Ôn Tập Tốt Nhất Cho Kỳ Thi THPT Quốc Gia 2017 - Môn Toán Tài liệu này cấu trúc thành bảy chủ đề theo chương trình Toán 12. Mỗi chủ đề gồm phần tóm tắt kiến thức cơ bản, những ví dụ minh họa và một số...",121400.0,"15,5x23,5 cm",448.0,Nhiều Tác Giả,,,,,Ôn Tập Tốt Nhất Cho Kỳ Thi THPT Quốc Gia 2017 - Môn Toán,https://salt.tikicdn.com/cache/280x280/media/catalog/product/m/o/mon-toan.u4939.d20170316.t153255.913239.jpg,Chuyên đề,Nhiều Tác Giả,"Ôn Tập Tốt Nhất Cho Kỳ Thi THPT Quốc Gia 2017 - Môn Toán Tài liệu này cấu trúc thành bảy chủ đề theo chương trình Toán 12. Mỗi chủ đề gồm phần tóm tắt kiến thức cơ bản, những ví dụ minh họa và một số...",121400.0,NXB Trẻ,2017-03-16 00:00:00,Bìa mềm,448.0,,"15,5x23,5 cm",,
125,Cùng suy nghĩ về những ý niệm lớn,https://salt.tikicdn.com/cache/280x280/ts/product/07/9e/8c/ac72920477bbf0567ccf6e4ddaa355f5.jpg,Chuyên đề,Cuốn sách này có thể được đọc hoặc như là một tác phẩm dẫn nhập triết học hoặc như một nghiên cứu gợi mở tư duy về các vấn đề triết học có chọn lọc của một bậc thầy trong lãnh vực giáo dục triết học....,200000.0,<p>15 x 24 x 5 cm</p>,576.0,Mortimer J. Adler,,,,,Cùng suy nghĩ về những ý niệm lớn,https://salt.tikicdn.com/cache/280x280/ts/product/07/9e/8c/ac72920477bbf0567ccf6e4ddaa355f5.jpg,Chuyên đề,Mortimer J. Adler,Cuốn sách này có thể được đọc hoặc như là một tác phẩm dẫn nhập triết học hoặc như một nghiên cứu gợi mở tư duy về các vấn đề triết học có chọn lọc của một bậc thầy trong lãnh vực giáo dục triết học....,200000.0,NES Books,2019-06-08 11:54:11,Bìa mềm,576.0,Nhà Xuất Bản Hồng Đức,<p>15 x 24 x 5 cm</p>,PHẠM VIÊM PHƯƠNG VÀ MAI SƠN,
126,Tuyển Tập Bài Hát Hay Dùng Trong Trường Mầm Non,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img285.u547.d20160709.t163214.jpg,Chuyên đề,"Tuyển Tập Bài Hát Hay Dùng Trong Trường Mầm Non Âm nhạc với bé bắt đầu từ những lời ru ngọt ngào của mẹ. Để rồi, khi con cất những bước đi đầu tiên vào trường học nhỏ con lại được các cô dạy từng câu...",36900.0,19 x 27 cm ,122.0,Nhiều Tác Giả,,,,,Tuyển Tập Bài Hát Hay Dùng Trong Trường Mầm Non,https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img285.u547.d20160709.t163214.jpg,Chuyên đề,Nhiều Tác Giả,"Tuyển Tập Bài Hát Hay Dùng Trong Trường Mầm Non Âm nhạc với bé bắt đầu từ những lời ru ngọt ngào của mẹ. Để rồi, khi con cất những bước đi đầu tiên vào trường học nhỏ con lại được các cô dạy từng câu...",36900.0,Huy Hoàng Bookstore,2016-06-19 00:00:00,Bìa mềm,122.0,,19 x 27 cm ,,
127,401 Trò Chơi Ô Chữ Số Sudoku - Tập 1 ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/2/42-sudoku.u5465.d20170808.t160804.593288.jpg,Chuyên đề,"401 Trò Chơi Ô Chữ Số Sudoku - Tập 1 là trò chơi ô chữ số cực kỳ lôi cuốn và hấp dẫn, có nguồn gốc từ Nhật Bản. Nhật Bản là nơi có hàng trăm thầy dạy trò chơi ô chữ số tận tụy tìm ra nhiều cách giải ...",104900.0,,244.0,Pete Sinden,,,,,401 Trò Chơi Ô Chữ Số Sudoku - Tập 1 ,https://salt.tikicdn.com/cache/280x280/media/catalog/product/4/2/42-sudoku.u5465.d20170808.t160804.593288.jpg,Chuyên đề,Pete Sinden,"401 Trò Chơi Ô Chữ Số Sudoku - Tập 1 là trò chơi ô chữ số cực kỳ lôi cuốn và hấp dẫn, có nguồn gốc từ Nhật Bản. Nhật Bản là nơi có hàng trăm thầy dạy trò chơi ô chữ số tận tụy tìm ra nhiều cách giải ...",104900.0,Nhân Trí Việt,2013-08-13 00:00:00,Bìa mềm,244.0,,,Trần Văn Phúc,
128,Ôn Tập Tốt Nhất Cho Kỳ Thi THPTQG 2017 - Môn KHTN - Phần Hóa Học,https://salt.tikicdn.com/cache/280x280/media/catalog/product/p/h/phan-hoa-hoc.u4972.d20170329.t172805.635667.jpg,Chuyên đề,"*Sách thuộc kho sách cũ, sách tồn kho, không đổi trả. Khách hàng vui lòng cân nhắc trước khi mua*Ôn Tập Tốt Nhất Cho Kỳ Thi THPTQG 2017 - Môn KHTN - Phần Hóa HọcĐể giúp học sinh lớp 12 có thể tự ôn ...",113600.0,15.5x23.5 cm,473.0,Tống Đức Huy,,,,,Ôn Tập Tốt Nhất Cho Kỳ Thi THPTQG 2017 - Môn KHTN - Phần Hóa Học,https://salt.tikicdn.com/cache/280x280/media/catalog/product/p/h/phan-hoa-hoc.u4972.d20170329.t172805.635667.jpg,Chuyên đề,Tống Đức Huy,"*Sách thuộc kho sách cũ, sách tồn kho, không đổi trả. Khách hàng vui lòng cân nhắc trước khi mua*Ôn Tập Tốt Nhất Cho Kỳ Thi THPTQG 2017 - Môn KHTN - Phần Hóa HọcĐể giúp học sinh lớp 12 có thể tự ôn ...",113600.0,NXB Trẻ,2017-01-01 00:00:00,,473.0,,15.5x23.5 cm,,
129,"Bứt Phá Điểm Thi Môn Vật lý - Tập 1 (Chinh phục kì thi THPTQG và Đại học, Cao đẳng) (Bộ Quà Tặng Ebook, video, đề thi thử)",https://salt.tikicdn.com/cache/280x280/ts/product/76/46/00/2c97e2637bdd8c1474c375a759ae1808.jpg,Chuyên đề,Combo Bứt phá điểm thi môn Vật Lí 2019 - Phiên bản đặc biệtChắc Kiến Thức - Tư Duy Nhanh - Thi Là ĐỗCuốn sách là bộ tài liệu ôn thi Vật Lí đầy đủ và toàn vẹn nhất cho tất cả các em học sinh l...,186000.0,19x26,362.0,Phạm Quốc Toàn,,,,,"Bứt Phá Điểm Thi Môn Vật lý - Tập 1 (Chinh phục kì thi THPTQG và Đại học, Cao đẳng) (Bộ Quà Tặng Ebook, video, đề thi thử)",https://salt.tikicdn.com/cache/280x280/ts/product/76/46/00/2c97e2637bdd8c1474c375a759ae1808.jpg,Chuyên đề,Phạm Quốc Toàn,Combo Bứt phá điểm thi môn Vật Lí 2019 - Phiên bản đặc biệtChắc Kiến Thức - Tư Duy Nhanh - Thi Là ĐỗCuốn sách là bộ tài liệu ôn thi Vật Lí đầy đủ và toàn vẹn nhất cho tất cả các em học sinh l...,186000.0,MCBOOKS,,Bìa mềm,362.0,,19x26,,
130,"Hành Trình Từ 0 Đến 9+ Môn Hóa học - Phần Vô Cơ (Học kèm App TKBooks, tặng Ebook và Video, đề thi thử)",https://salt.tikicdn.com/cache/280x280/ts/product/d5/1e/e1/aea0376b9eff9871f139766a615ac6c6.jpg,Chuyên đề,“Hãy vượt qua giới hạn bản thân để vươn tới tầm cao mới! Chấp nhận đau đớn và xuyên qua nỗi sợ hãi để tới bên kia vạch đích.” - Lê Đăng KhươngĐây không chỉ là một quyển sách - Hành trình từ 0 đến 9+...,174200.0,19*26,438.0,ThS. Lê Đăng Khương,,,,,"Hành Trình Từ 0 Đến 9+ Môn Hóa học - Phần Vô Cơ (Học kèm App TKBooks, tặng Ebook và Video, đề thi thử)",https://salt.tikicdn.com/cache/280x280/ts/product/d5/1e/e1/aea0376b9eff9871f139766a615ac6c6.jpg,Chuyên đề,ThS. Lê Đăng Khương,“Hãy vượt qua giới hạn bản thân để vươn tới tầm cao mới! Chấp nhận đau đớn và xuyên qua nỗi sợ hãi để tới bên kia vạch đích.” - Lê Đăng KhươngĐây không chỉ là một quyển sách - Hành trình từ 0 đến 9+...,174200.0,MCBOOKS,,Bìa mềm,438.0,,19*26,,
131,Bàn Về Chính Quyền,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/a/ban-ve-chinh-quyen.u5131.d20170424.t090214.12987.jpg,Chuyên đề,"Bàn Về Chính Quyền Lần đầu tiên một cuốn sách của triết gia vĩ đại Cicero được phát hành chính thức tại Việt Nam. Bàn về chính quyền là một trong những nền tảng tư tưởng của Phương Tây, cuốn sách nằm...",159200.0,16 x 24 cm,544.0,Marcus Tullius Cicero,,,,,Bàn Về Chính Quyền,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/a/ban-ve-chinh-quyen.u5131.d20170424.t090214.12987.jpg,Chuyên đề,Marcus Tullius Cicero,"Bàn Về Chính Quyền Lần đầu tiên một cuốn sách của triết gia vĩ đại Cicero được phát hành chính thức tại Việt Nam. Bàn về chính quyền là một trong những nền tảng tư tưởng của Phương Tây, cuốn sách nằm...",159200.0,Omega Plus,2017-05-01 00:00:00,Bìa cứng,544.0,,16 x 24 cm,,2017
132,Học Trường Chuyên - Những Góc Nhìn Đa Chiều,https://salt.tikicdn.com/cache/280x280/ts/product/3f/f5/0d/baca98b77c6ce9fbb2d9e45bde5fd3b3.jpg,Chuyên đề,"Học Trường Chuyên – Những góc nhìn đa chiều là một cuốn sách thú vị chia sẻ những góc nhìn khác biệt, nhiều chiều về trường chuyên mà trước nay có thể bạn chưa biết đến. Không chỉ còn hình ảnh những ...",105780.0,14 x 20.5 cm,312.0,Nhiều Tác Giả,,,,,Học Trường Chuyên - Những Góc Nhìn Đa Chiều,https://salt.tikicdn.com/cache/280x280/ts/product/3f/f5/0d/baca98b77c6ce9fbb2d9e45bde5fd3b3.jpg,Chuyên đề,Nhiều Tác Giả,"Học Trường Chuyên – Những góc nhìn đa chiều là một cuốn sách thú vị chia sẻ những góc nhìn khác biệt, nhiều chiều về trường chuyên mà trước nay có thể bạn chưa biết đến. Không chỉ còn hình ảnh những ...",105780.0,Tri Thức Trẻ Books,2021-01-12 00:00:00,Bìa mềm,312.0,Nhà Xuất Bản Thanh Niên,14 x 20.5 cm,Người Kể Chuyện (chủ biên),
133,Tinh Tuyển Những Bài Văn Nghị Luận (Thi THPT Quốc Gia),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img103.u4939.d20170328.t100110.455200.jpg,Chuyên đề,Cuốn sách Tinh Tuyển Những Bài Văn Nghị Luận (Thi THPT Quốc Gia) bao gồm các bài văn mẫu được tác giả biên soạn nhằm cung cấp những kiến thức và tư liệu cần thiết để chuẩn bị cho kỳ thi THPT Quốc gia....,133000.0,19 x 27 cm,483.0,ThS. Nguyễn Thành Huân,,,,,Tinh Tuyển Những Bài Văn Nghị Luận (Thi THPT Quốc Gia),https://salt.tikicdn.com/cache/280x280/media/catalog/product/i/m/img103.u4939.d20170328.t100110.455200.jpg,Chuyên đề,ThS. Nguyễn Thành Huân,Cuốn sách Tinh Tuyển Những Bài Văn Nghị Luận (Thi THPT Quốc Gia) bao gồm các bài văn mẫu được tác giả biên soạn nhằm cung cấp những kiến thức và tư liệu cần thiết để chuẩn bị cho kỳ thi THPT Quốc gia....,133000.0,Nhà Sách Hồng Ân,2017-02-23 00:00:00,Bìa mềm,483.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,19 x 27 cm,,
134,Sách Tuyển tập đề thi môn toán chọn Đội tuyển và dự tuyển Phổ thông năng khiếu 2009 - 2021,https://salt.tikicdn.com/cache/280x280/ts/product/5b/0c/21/595f8709c41a1e5020d796f358611023.jpg,Chuyên đề,Tuyển Tập Đề Thi Môn Toán Chọn Đội Tuyển Và Dự Tuyển Phổ Thông Năng Khiếu 2009 - 2021Tài liệu này là sản phẩm ấp ủ của tập thể các tác giả trong một thời gian dài và được thực hiện với những sự tập t...,135000.0,,310.0,Lê Phúc Lữ,,,,,Sách Tuyển tập đề thi môn toán chọn Đội tuyển và dự tuyển Phổ thông năng khiếu 2009 - 2021,https://salt.tikicdn.com/cache/280x280/ts/product/5b/0c/21/595f8709c41a1e5020d796f358611023.jpg,Chuyên đề,Lê Phúc Lữ,Tuyển Tập Đề Thi Môn Toán Chọn Đội Tuyển Và Dự Tuyển Phổ Thông Năng Khiếu 2009 - 2021Tài liệu này là sản phẩm ấp ủ của tập thể các tác giả trong một thời gian dài và được thực hiện với những sự tập t...,135000.0,NXB Đại Học Quốc Gia Hà Nội,2021-04-01 16:05:37,Bìa mềm,310.0,nxb dai hoc quoc gia ha noi,,,Đầu tiên
135,Sách Thách Thức Tư Duy Thuật Toán 2020 - Bebras 2020 - Bebras Computational Thinking Challenge,https://salt.tikicdn.com/cache/280x280/ts/product/e2/5b/1b/ad78582bda9fbada6887afd1fe57e601.jpg,Chuyên đề,"Nhằm hỗ trợ các bạn học sinh làm quen và hệ thống lại các chủ đề thường gặp trong kỳ thi thách thức tư duy Thuật toán Bebras , các tác giả đã biên soạn cuốn sách ""Thách thức tư duy thuật toán 2020"" vớ...",70000.0,,152.0,Lê Anh Vinh,,,,,Sách Thách Thức Tư Duy Thuật Toán 2020 - Bebras 2020 - Bebras Computational Thinking Challenge,https://salt.tikicdn.com/cache/280x280/ts/product/e2/5b/1b/ad78582bda9fbada6887afd1fe57e601.jpg,Chuyên đề,Lê Anh Vinh,"Nhằm hỗ trợ các bạn học sinh làm quen và hệ thống lại các chủ đề thường gặp trong kỳ thi thách thức tư duy Thuật toán Bebras , các tác giả đã biên soạn cuốn sách ""Thách thức tư duy thuật toán 2020"" vớ...",70000.0,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,2021-03-01 21:33:53,Bìa mềm,152.0,dai hoc quoc gia ha noi,,,Đầu Tiên
136,Chinh Phục Đỉnh Olympia  - Những Mẫu Chuyện Tìm Tòi Và Sáng Tạo Trong Toán Học,https://salt.tikicdn.com/cache/280x280/ts/product/18/57/00/2cfbe785ee9582d13ee255d5efdc9ea1.jpg,Chuyên đề,Chinh Phục Đỉnh Olympia Toán Học nhằm khơi gợi sự tò mò và sáng tạo trong toán học phổ thông của các em học sinh các lớp THCS và THPT. Trong cuốn sách có một số bài viết  của chúng tôi đã được chọn đă...,109000.0,,,NGuyễn Đức Tấn,,,,,Chinh Phục Đỉnh Olympia  - Những Mẫu Chuyện Tìm Tòi Và Sáng Tạo Trong Toán Học,https://salt.tikicdn.com/cache/280x280/ts/product/18/57/00/2cfbe785ee9582d13ee255d5efdc9ea1.jpg,Chuyên đề,NGuyễn Đức Tấn,Chinh Phục Đỉnh Olympia Toán Học nhằm khơi gợi sự tò mò và sáng tạo trong toán học phổ thông của các em học sinh các lớp THCS và THPT. Trong cuốn sách có một số bài viết  của chúng tôi đã được chọn đă...,109000.0,Khang Việt Book,,Bìa mềm,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,
137,"Combo Chuyên Đề Đường Vào Hình Học Sơ Cấp (tập 1 + 2|) - Dành cho giáo viên và học sinh chuyên toán THCS,THPT",https://salt.tikicdn.com/cache/280x280/ts/product/66/21/a8/491d9ceb12bc8c7d2221886043a3154a.jpg,Chuyên đề,Nội dung cụ thể của Chuyên đề đường vào hình học sơ cấp – tập 1 như sau:Phần 1: Khám pháMột số bài toán chọn lọc qua các đề thi chọn đội tuyển các tỉnh năm 2020Bài toán hình học ngày thứ hai đề th...,109000.0,,,nhieu tac gia,,,,,"Combo Chuyên Đề Đường Vào Hình Học Sơ Cấp (tập 1 + 2|) - Dành cho giáo viên và học sinh chuyên toán THCS,THPT",https://salt.tikicdn.com/cache/280x280/ts/product/66/21/a8/491d9ceb12bc8c7d2221886043a3154a.jpg,Chuyên đề,nhieu tac gia,Nội dung cụ thể của Chuyên đề đường vào hình học sơ cấp – tập 1 như sau:Phần 1: Khám pháMột số bài toán chọn lọc qua các đề thi chọn đội tuyển các tỉnh năm 2020Bài toán hình học ngày thứ hai đề th...,109000.0,NXB  Thanh Niên,,Bìa mềm,,Nhà Xuất Bản Thanh Niên,,,
138,Vấn Dề An Ninh Phi Truyền Thống Trong Quan Hệ Quốc Tế Hiện Nay,https://salt.tikicdn.com/cache/280x280/ts/product/28/23/7e/0703f08f01e4f9480e87dbab485e4610.jpg,Chuyên đề,"Cuốn sách Vấn đề an ninh phi truyền thống trong quan hệ quốc tế hiện nay do TS. Lưu Thúy Hồng chủ biên sẽ góp phần nghiên cứu, làm rõ cơ sở khoa học và thực tiễn về các vấn đề an ninh phi truyền thống...",95000.0,,331.0,TS. Lưu Thúy Hồng,,,,,Vấn Dề An Ninh Phi Truyền Thống Trong Quan Hệ Quốc Tế Hiện Nay,https://salt.tikicdn.com/cache/280x280/ts/product/28/23/7e/0703f08f01e4f9480e87dbab485e4610.jpg,Chuyên đề,TS. Lưu Thúy Hồng,"Cuốn sách Vấn đề an ninh phi truyền thống trong quan hệ quốc tế hiện nay do TS. Lưu Thúy Hồng chủ biên sẽ góp phần nghiên cứu, làm rõ cơ sở khoa học và thực tiễn về các vấn đề an ninh phi truyền thống...",95000.0,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,331.0,Nhà Xuất Bản Chính Trị Quốc Gia,,,
