,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, ngôn ngữ, người dịch, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng
340,Hình Học Vui,https://www.vinabook.com/images/thumbnails/product/240x/327393_p86186mscan0001.jpg,Toán học,,"  Thông tin tác giả    Yakov Perelman     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách ""Hình học vui"" của tác giả Yakov Perelman nằm trong chùm các tác phẩm khoa học vui.Cuốn sách nhằm phục vụ cho những bạn đọc đã hoặc đang học hình học chỉ giới hạn trong phạm vi bốn bức tường lớp học, do đó không quen để ý đến những tương quan hình học quen thuộc trong thế giới những sự vật và hiện tượng xung quanh ta, không biết ứng dụng những kiến thức hình học đã thu nhận được vào thực tiễn: những trường hợp trở ngại trong sinh hoạt, những lúc hành quân, cắm trạị.Nhiệm vụ chủ yếu của cuốn sách này nhằm khơi gọi ở người đọc lòng say mê đối với hình học, giúp nhen nhóm ý muốn và nuôi dưỡng lòng ham thích nghiên cứu hình học Vì mục đích đó tác giả đã giải thoát hình học ra khỏi bốn bức tường của lớp học, đưa nó ra ngoài trời, vào trong rừng, ra ngoài đồng, đến bờ sông và đến cạnh nề đường, để giải các bài toán hình học không mảy may gượng ép ở ngay ngoài trời thoáng đãng, chẳng cần đến sách giáo khoa bảng số.Ngoài ra, sách còn đề ra cho bạn đọc những bài toán chọn lọc muôn hình muôn vẻ, nội dung hấp dẫn, kết quả bất ngờ.Mời bạn đón đọc. ",120.000,,,,,,,,,,,,, 440.00 gam , 14.5 x 20.5 cm , 9786047752478 , 12/2018 , Tiếng Việt ,, Sputnik , Nxb Thế giới , 372 , Yakov Perelman , Bìa mềm 
341,Khả Năng Gặp Được Nửa Hoàn Hảo Của Mình Là Bao Nhiêu?,https://www.vinabook.com/images/thumbnails/product/240x/311740_p83895mbatrc.jpg,Toán học,,"  Thông tin tác giả    Rob Eastaway     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Jeremy Wyndham     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Học toán để làm gì?”, “Tại sao các thầy cô lại bắt mình học tích phân, vi phân?”, “Chỉ để làm bài kiểm tra thôi à?”… Chắc hẳn không ít người trong chúng ta từng có những thắc mắc tương tự khi còn ngồi trên ghế nhà trường hay cả khi đã qua thời học trò mà vẫn chẳng thấy toán học có tác dụng gì lớn trong cuộc sống. Nhưng sự thực không phải vậy. Toán học ẩn chứa trong những vấn đề thực tiễn và gần gũi nhất xung quanh. Để giúp trả lời những câu hỏi như: Tại sao một tuần lại có bảy ngày? Tại sao có quáng tám với bảy nốt nhạc? Hay chiến thuật chơi “Ai là triệu phú?” tốt nhất là gì? Qua lăng kính của các con số, ta hoàn toàn có thể có những câu trả lời rõ ràng cho những vấn đề tưởng chừng rất đỗi mịt mùng.Và với giọng văn khiêm nhường, hóm hỉnh, các tác giả còn bật bí nhiều cách vận dụng toán học để tối ưu hóa khả năng giải quyết các vấn đề, xử lý tranh chấp và đặc biệt là tránh bị lường gạt trong cuộc sống. Khi đó, bạn sẽ thấy sự uyển chuyển và ảo diệu vô cùng của những con số tưởng chừng vô tri. “Hiếm có cuốn sách về toán học nào lại hấp dẫn đến vậy!” – Tạp chí New Scientist – Anh quốc.Mời bạn đón đọc. ",98.000,,,,,,,,,,,,, 374.00 gam , 14 x 20.5 cm , 8935235217386 , 07/2018 , Tiếng Việt , Phạm Quốc Hưng , Nhã Nam , Nxb Hà Nội , 296 ," Rob Eastaway , Jeremy Wyndham ", Bìa mềm 
342,Tổ Hợp Và Quy Nạp,https://www.vinabook.com/images/thumbnails/product/240x/308493_p83141mbatrc.jpg,Toán học,,"  Thông tin tác giả    N. IA. Vilenkin     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Không chỉ quan trọng đối với những kỳ thi học sinh giỏi mà tổ hợp và quy nạp là một phần không thể thiếu cho những ai muốn tiếp tục học tập, nghiên cứu và làm việc có hiệu quả trong những ngành toán học, tin học, kỹ thuật hay đơn giản chỉ là để trau dồi tư duy logic, điều mà ai cũng cần đến trong cuộc sống.Mời bạn đón đọc. ",45.000,,,,,,,,,,,,, 154.00 gam , 14.5 x 20.5 cm , 9786048024963 , 12/2017 , Tiếng Việt , Hà Huy Khoái , Sputnik , Nxb Thông tin & truyền thông , 100 , N. IA. Vilenkin , Bìa mềm 
343,Thuyền Trưởng Đơn Vị,https://www.vinabook.com/images/thumbnails/product/240x/308501_p83137mbatrc.jpg,Toán học,,"  Thông tin tác giả    Vladimir Levshin     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Thuyền Trưởng Đơn Vị (Bản In Màu 2017) thuộc loạt sách “tiểu thuyết toán học” viết cho thiếu nhi (độ tuổi cấp 2) của nhà văn Nga nổi tiếng V. LIOPSIN, gồm  Thuyền trưởng đơn vị ; Ba ngày ở nước tí hon; Người mặt nạ đen ở nước An-giép…, những tác phẩm rất nổi tiếng vào thập niên 1970 - 1980 và bây giờ vẫn nguyên vẹn những giá trị của nó.Tác phẩm này kể về cuộc phiêu lưu kỳ thú của Số Không trên chiếc tàu của  Thuyền trưởng Đơn Vị , vào thế giới kỳ diệu được dựng nên bằng những con số, phép tính. Đó là biển Tiên Đề, đảo Tam giác Vuông, đại dương Số Học… Thế giới toán học đó cũng có kẻ xấu người tốt, và quan trọng nhất, qua những chuyến đi kỳ thú, thuyền trưởng Đơn Vị sẽ giúp các bạn nhỏ hình thành những tư duy toán học bổ ích, khám phá tầm quan trọng của toán học trong đời sống…Đây là dạng tiểu thuyết toán học rất hấp dẫn và lý thú, giúp các em học sinh tăng cường tư duy toán học, đồng thời có những phút giây thư giãn thú vị bên những nhân vật rất đáng yêu.Mời bạn đón đọc. ",86.000,,,,,,,,,,,,, 264.00 gam , 14.5 x 20.5 cm , 9786047738472 , 10/2017 , Tiếng Việt , Nguyễn Tiến Dũng , Sputnik , Nxb Thế giới , 208 , Vladimir Levshin , Bìa mềm 
344,Hình Học Không Gian,https://www.vinabook.com/images/thumbnails/product/240x/308497_p83133mbatrc.jpg,Toán học,,"  Thông tin tác giả    Kiselev     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách Hình Học Không Gian này là Phần 2 của bộ sách giáo khoa Hình học sơ cấp của nhà toán học ngưồi Nga Andrey Petrovich Kiselev, được đánh giá là bộ sách giáo khoa hay nhất trên thế giói về hình học cho học sinh phổ thông từng được viết trong suốt một thế kỷ qua. Độ kinh điển của nó có thể sánh với bộ sách ""Cơ sỏ"" của Euclid. Nó thỏa mãn đồng thòi nhiều tiêu chí mà không phải quyển sách giáo khoa nào cũng có được, như là: chính xác, đơn giản, ngắn gọn và am hiểu vấn đề.Ngày nay, bộ sách này không còn là sách giáo khoa chính thức ở Nga, nhưng trỏ thành sách tham khảo quý giá và được tái bản thường xuyên, vào năm 2008, Giáo sư Alexander Givental ỏ Đại học California Berkeley đã dịch bộ sách này sang tiếng Anh, sau khi ông không tìm được sách hình học nào tốt hơn để dạy cho học sinh.Nội dung của sách Hình Học Không Gian và sách Hình Học Phẳng bao phủ toàn bộ chương trình phổ thông về môn hình học. Hơn thế nữa, nó còn có những phần giới thiệu cách tiếp cận rất hiện đại và khoa học về các vấn đề hình học sơ cấp, trong đó có cả việc định nghĩa và tính toán chính xác diện tích và thể tích của những hình có biên cong qua phép lấy giói hạn, việc nghiên cứu các đối xứng của các hình, việc xây dựng cơ sỏ tiên đề cho hình học, không gian Euclid (không gian véc tơ với tích vô hướng), và cả những khái niệm hình học phi Euclid, như là các mô hình và lý thuyết hình học của Lobachevsky, Riemann, Klein, Minkowski, Hilbert, Weyl, v.v. Tất cả những khái niệm tương đối hiện đại đó được trình bày một cách đơn giản, rành mạch, học sinh phổ thông có thể tiếp cận được.Một số phần trong bộ sách này có thể được coi là kiến thức nâng cao, không có trong chương trình phổ thông chính thức ở Việt Nam, nhưng rất hữu ích cho các học sinh muốn phát triển năng khiếu và tư duy toán học một cách cơ bản.Mời bạn đón đọc. ",80.000,,,,,,,,,,,,, 330.00 gam , 14.5 x 20.5 cm , 9786046262138 , 12/2016 , Tiếng Việt , Nhóm Dịch Giả , Sputnik , Nxb Đại học Quốc gia Hà Nội , 268 , Kiselev , Bìa mềm 
345,Phương Pháp Giải Toán Qua Các Bài Toán Olympic,https://www.vinabook.com/images/thumbnails/product/240x/308596_p83128mscan0006.jpg,Toán học,,"  Thông tin tác giả    Trần Nam Dũng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đã từ lâu tôi nung nấu viết một cuốn sách về phương pháp giải các bài toán olympic. Không thiên về các kiến thức cụ thể như dãy số, đa thức, bất đẳng thức, đồng dư, phép đếm, lý thuyết đồ thị",90.000,,,,,,,,,,,,, 286.00 gam , 14.5 x 20.5 cm , 9786047734085 , 05/2017 , Tiếng Việt ,, Sputnik , Nxb Thế giới , 248 , Trần Nam Dũng , Bìa mềm 
346,Xung Quanh Phép Quay - Hướng Dẫn Môn Hình Học Sơ Cấp,https://www.vinabook.com/images/thumbnails/product/240x/308594_p83127mscan0007.jpg,Toán học,,"  Thông tin tác giả    Waldemar Pompe     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Xung Quanh Phép Quay - Hướng Dẫn Môn Hình Học Sơ Cấp giới thiệu hình học sơ cấp một cách tự nhiên và hiện đại, thông qua việc sử dụng các phép dời hình (phép quay, phép tịnh tiến và phép đối xứng gương). Nhiều bài toán khó của hình học trở nên dễ dàng, có lời giải sáng sủa, nhờ cách tiếp cận này. Tác giả cuốn sách là giáo sư ĐH Tổng hợp Warszawa và từng phụ trách đội tuyển IMO của Ba Lan trong nhiều năm.Cuốn sách là tài liệu học tập vô cùng hữu ích dành cho học sinh cấp 3, giúp các em vượt qua các bài toán hình học khó, đồng thời đây cũng là giáo trình giảng dạy tham khảo cần thiết dành cho các thầy cô giáo.Mời bạn đón đọc. ",55.000,,,,,,,,,,,,, 176.00 gam , 14.5 x 20.5 cm , 9786046262145 , 08/2016 , Tiếng Việt ," Nguyễn Hùng Sơn , Nguyễn Sinh Hoa ", Sputnik , Nxb Đại học Quốc gia Hà Nội , 124 , Waldemar Pompe , Bìa mềm 
347,Toán Học Qua Các Câu Chuyện Về Tập Hợp,https://www.vinabook.com/images/thumbnails/product/240x/308628_p83126mscan0001.jpg,Toán học,,  Thông tin tác giả    Naum Yakovlevich Vilenkin     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Toán Học Qua Các Câu Chuyện Về Tập Hợp là quyển sách sẽ giúp các bạn có thể hiểu rõ hơn về toán học thông qua các câu chuyện được tích hợp trong sách về chuyên đề tập hơp. Quyển sách sẽ cung cấp cho các bạn đầy đủ kiến thức cần thiết để trang bị kiến thức cho mình. Sách Trình bày dễ hiểu rõ ràng sẽ giúp các bạn dễ nắm bắt kiến thức hơn.Mời bạn đón đọc.,75.000,,,,,,,,,,,,, 286.00 gam , 14.5 x 20.5 cm , 9786047737543 , 09/2017 , Tiếng Việt , Nhiều dịch giả , Sputnik , Nxb Thế giới , 236 , Naum Yakovlevich Vilenkin , Bìa mềm 
348,Toán Học Và Nghệ Thuật,https://www.vinabook.com/images/thumbnails/product/240x/308612_p83123mscan0006.jpg,Toán học,,"  Thông tin tác giả    Nguyễn Tiến Dũng 
                                                                                                                                            Nguyễn Tiến Dũng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bức tranh Mona Lừa của Leonardo da Vinci được mệnh danh là bức tranh nổi tiếng nhất thế giới. Quyển truyện Al­ice ở xứ sở thần tiên của Lewis Carroll được dịch ra hơn 170 thứ tiếng khác nhau. Các bài thơ bốn câu của Omar Khayyam được trích dẫn thường xuyên từ nước Nga cho đến nước Mỹ. Hàng triệu ngưòi trên thế giới yêu thích các tác phẩm của da Vinci, Carroll và Khayyam. Nhưng ít người biết rằng những văn nghệ sĩ này còn có một điểm chung khác: họ đều là nhà toán học.Rất nhiều nhà toán học khác cũng đã để lại dấu ấn trong nghệ thuật. Pythagoras không chỉ nổi tiếng với định lý về bình phương các cạnh của một tam giác vuông, mà còn là ông tổ của lý thuyết âm nhạc ngày nay. Girard Désargues khám phá ra môn hình học xạ ảnh từ việc nghiên cứu phương pháp phối cảnh tuyến tính trong hội họa. Sofia Kovalevskaya, nữ tiến sĩ toán học đầu tiên của thế giới, cũng là tác giả của những tác phẩm văn học đặc sắc, v.v",130.000,,,,,,,,,,,,, 352.00 gam , 14.5 x 20.5 cm , 9786049636370 , 03/2018 , Tiếng Việt ,, Sputnik , Nxb văn học , 240 , Nguyễn Tiến Dũng , Bìa mềm 
349,Các Bài Giảng Về Toán Cho Mirella - Quyển 1,https://www.vinabook.com/images/thumbnails/product/240x/308618_p83119mscan0004.jpg,Toán học,,"  Thông tin tác giả    Nguyễn Tiến Dũng 
                                                                                                                                            Nguyễn Tiến Dũng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đọc cuốn “Các bài giảng về toán cho Mirella”, tôi gặp lại cái cảm giác tươi mát của 4-5 năm trước, khi đến thăm ngôi nhà nhỏ của Dũng - Mai - Tito - Mirella ỏ Toulouse. Ngôi nhà có mảnh vườn nhỏ, với những luống cà chua và mấy khóm rau thơm mang giống từ Việt Nam. Bữa ăn hôm đó thơm mùi cà chua mới hái trong vườn, lại còn được nghe chủ nhà kể về cái cách chăm sóc chúng vói niềm say mê thực sự của người làm vườn.Hôm nay, ông chủ của khu vườn đó lại dẫn chúng ta vào một khu vườn khác, cũng với niềm say mê như thế. Không những ta được ông chủ chỉ cho xem, được chiêu đãi những hoa thơm quả ngọt của khu vườn, mà còn được tận tình chỉ bảo cách tạo nên những hoa thơm quả ngọt đó. Khu vườn có tên là Toán học. Không ít người từng ngại ngần khi bước vào khu vưòn bí hiểm đó, với những lối đi chẳng khác nào labyrinth. Nhưng đi theo người làm vườn thành thạo đã hiểu mọi ngõ ngách khu vườn như lòng bàn tay, ta bỗng thấy mọi điều trỏ nên thật dễ dàng. Tất cả đều hiện lên với một vẻ đẹp thật đơn giản và thuần khiết. Hơn thế nữa, ta bỗng thấy háo hức muốn cầm ngay xẻng, cuốc để tự mình trồng vài cái cây, vài khóm hoa, luống rau. Đối với tôi, khu vườn toán học đó không có gì xa lạ. Vậy mà đi theo ngưòi làm vườn Nguyễn Tiến Dũng, tôi vẫn ngạc nhiên thú vị về cái cách anh giảng giải chuyện làm thế nào để trồng được mấy khóm cây đó, như chuyện kể về lý thuyết nhóm thông qua việc xoay xoay mấy hình đa giác, hay bài toán tìm hình có chu vi cho trước với diện tích cực đại bằng cái dây da trâu của công chúa Dido.Các bài giảng về toán cho Mirella thực sự là một cuốn sách giáo khoa toán học cho tất cả mọi ngưòi, đặc biệt cho những ai muốn tìm hiểu vẻ đẹp của toán học mà còn ngại tính toán! Nói cho cùng, trong toán học có hai phần “tính” và “toán”. Nếu như các kỳ thi thường hay bắt thí sinh phải thạo “tính”, thì tác giả lại cho người đọc hiểu phần “toán”, tức là phần bản chất nhất của toán học. Hơn nữa, khi đã hiểu “toán” thì việc “tính” cũng sẽ tự nhiên như trồng một cái cây, gieo một hạt giống thôi. Đã đến lúc chúng ta cùng người làm vưòn và cô bé Mirella bước vào khu vườn Toán học, với niềm vui của người khám phá và sáng tạo.Mời bạn đón đọc. ",62.000,,,,,,,,,,,,, 220.00 gam , 14.5 x 20.5 cm , 9786048020491 , 12/2016 , Tiếng Việt ,, Sputnik , Nxb Thông tin & truyền thông , 144 , Nguyễn Tiến Dũng , Bìa mềm 
350,Định Lý Cuối Cùng Của Fermat - Một Mật Mã Huyền Bí Và Định Mệnh,https://www.vinabook.com/images/thumbnails/product/240x/300828_p81949mdinhly.jpg,Toán học,,"  Thông tin tác giả    Lê Quang Ánh     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong lịch sử phát triển của toán học có lẽ không có định lý nào nổi tiếng như Định lý cuối cùng của Fermat. Nó nổi tiếng vì dạng của nó quá đơn giản. Nó nổi tiếng vì từ khi được Fermat phát biểu (1637) cho tới khi nó được chứng minh (1995) phải mất 358 năm, thời gian dài nhất để một định lý được chứng minh mặc dù có bao nhiêu bộ óc thông minh nhất, kiên trì nhất đã thử qua và đành chịu thua.Mãi cho đến khi người ta rất tình cờ tìm thấy chiếc chìa khóa của nó nằm tại Nhật Bản, nơi hai samurai trẻ thời hậu chiến đã đưa ra một giả thuyết không liên can gì đến bài toán, nhưng lại là để giải bài toán hóc búa kia. Và khi đưa ra xong, một trong hai tác giả đã tự sát, một điều không ai hiểu nổi. TS Lê Quang Ánh tái hiện lại câu chuyện hết sức ly kỳ này trong Định lý cuối cùng của Fermat-một mật mã huyền bí và định mệnh bằng những nghiên cứu riêng công phu và sâu sắc của mình.Hấp dẫn, lôi cuốn và đầy kịch tính ngay từ những trang đầu tiên, cuốn sách sẽ mang đến cho độc giả những khám phá thú vị và bổ ích về bài toán Fermat đầy huyền bí này.Mời bạn đón đọc. ",62.000,,,,,,,,,,,,, 242.00 gam , 13.5 x 21 cm , 9786045873311 , 04/2018 , Tiếng Việt ,, NXBTH TPHCM , Nxb Tổng hợp TP.HCM , 208 , Lê Quang Ánh , Bìa mềm 
351,A Mind For Numbers - Cách Chinh Phục Toán Và Khoa Học,https://www.vinabook.com/images/thumbnails/product/240x/303177_p82345mbatrc.jpg,Toán học,,"  Thông tin tác giả    Barbara Oakley     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Bộ não con người có những khả năng tuyệt vời, nhưng nó lại không kèm hướng dẫn sử dụng. Bạn sẽ tìm thấy hướng dẫn sử dụng ấy trong A Mind for Numbers – Cách chinh phục Toán và Khoa học. Dù chỉ là người mới hay đã là chuyên gia, bạn vẫn sẽ tìm thấy những cách mới tuyệt vời để nâng cao kỹ năng và kỹ thuật học tập, đặc biệt trong bộ môn toán và khoa học.A Mind for Numbers- Cách chinh phục Toán và Khoa học, đưa ra các cách thức giúp học sinh – sinh viên đang gặp rắc rối với môn toán và khoa học biết cách khai mở và sử dụng nguồn tài nguyên vô tận trong chính bộ não của mình, qua đó không chỉ chinh phục thành công bộ môn này mà đồng trời trở nên xuất sắc hơn bao giờ hết. Cuốn sách cũng giúp ích cho những người đã đi làm biết cách sáng tạo và sắp xếp công việc của mình, đồng thời phát triển nó lên một tầm cao mới, thông qua các kỹ thuật tư duy hoàn hảo.Cuốn sách tập trung trình bày các kỹ thuật cơ bản để sử dụng bộ não hiệu quả, đồng thời phát triển tư duy sâu hơn, có được cách nhìn mới mẻ và sáng tạo hơn. Các nội dung chính được sắp xếp một cách trình tự và logic, giúp người đọc dễ dàng đọc hiểu và thực hành theo.Các kỹ thuật tư duy sáng tạo như tư duy tập trung và tư duy phân tán, kỹ thuật lập khối thông tin hay đơn giản chỉ là kỹ thuật Pomodoro,… được tác giả trình bày ngắn gọn và rõ ràng, giúp tất cả người đọc hiểu sâu và áp dụng tốt vào học tập, công việc cũng như đời sống thường ngày.Ngoài ra, không chỉ giới thiệu về cách thức hoạt động của bộ não và mối liên hệ của nó với việc học, người đọc còn được tiếp cận một số quan điểm sai trong học tập dẫn đến việc học không hiệu quả, đồng thời biết thêm nhiều mẹo hữu ích cho việc học và làm bài thi. Đặc biệt, tác giả lựa chọn các ví dụ thực tế từ chính các giáo sư, tiến sĩ, giáo viên và sinh viên để minh chứng cho sự thay đổi khi dựa vào các phương pháp tư duy được đưa ra trong cuốn sách.Mời bạn đón đọc. ",149.000,,,,,,,,,,,,, 572.00 gam , 16 x 24 cm , 8935251409079 , 04/2018 , Tiếng Việt ," Trần Thị Minh Hiếu , Nguyễn Thị Kim Phụng ", Alpha books , Nxb Thế giới , 346 , Barbara Oakley , Bìa mềm 
352,Giải Toán Cùng Einstein (Tái Bản 2017),https://www.vinabook.com/images/thumbnails/product/240x/280035_p78145mscan0001.jpg,Toán học,,"  Thông tin tác giả    Edward Zaccaro     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Mọi học sinh đều cần một bộ công cụ các chiến lược giải toán để dùng đến khi làm toán. Bổ sung cho nhiều cách giải truyền thống, cuốn sách này bao gồm nhiều phương pháp mới như: Nghĩ đến số 1, Phương pháp 2-10, và nhiều cách khác do giáo viên dạy toán Edward Zaccaro phát triển. Mỗi bài học bao gồm các bài toán được chia thành 5 trình độ để phù hợp với không chỉ các học sinh trung bình, mà cả những học sinh giỏi. Cuốn sách cũng đưa ra đáp án và cách giải chi tiết để các bậc phụ huynh có thể tham khảo trong quá trình hướng dẫn con em mình.Các câu hỏi trong mỗi chương được chia theo 5 trình độ:• Trình độ 1 (dễ)• Trình độ 2 (khá khó)• Trình độ 3 (khó)• Trình độ Einstein (rất khó)• Trình độ Einstein siêu đẳng (cực khó)""Đừng lo lắng về khó khăn của bạn trong toán học, tôi đảm bảo với bạn rằng những khó khăn toán học của tôi còn gấp bội.” - Albert EinsteinMời bạn đón đọc. ",119.000,,,,,,,,,,,,, 528.00 gam , 16 x 24 cm , 8935251406849 , 12/2017 , Tiếng Việt , Nguyễn Tú , Alpha books , Nxb Thế giới , 336 , Edward Zaccaro , Bìa mềm 
353,Những Cuộc Phiêu Lưu Của Người Thích Đếm (Tái Bản 9/2015),https://www.vinabook.com/images/thumbnails/product/240x/227126_p70671mbt.jpg,Toán học,,"  Thông tin tác giả    Malba Tahan     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đây có lẽ là cuốn sách viết về toán học thường thức được ưa chuộng nhất trên thế giới trong vòng một thế kỷ qua. Kể từ khi nó bắt đầu xuất hiện vào năm 1938 bằng tiếng Bồ Đào Nha ở Brazil với nhan đề O Homen Que Calculava, nó đã được in ra hàng triệu bản, được dịch ra hầu hết các thứ tiếng phổ biến trên thế giới như tiếng ANh, tiếng Pháp, tiếng Tây Ban Nha, tiếng Đức, tiếng Ả Rập",88.000,,,,,,,,,,,,, 616.00 gam , 14.5 x 20.5 cm , 8935217100132 , 09/2015 , Tiếng Việt ,, Sputnik , Nxb Thông tin & truyền thông , 238 , Malba Tahan , Bìa mềm 
354,169 Bài Toán Hay Cho Trẻ Em Và Người Lớn (Tái Bản 2016),https://www.vinabook.com/images/thumbnails/product/240x/223040_p70034mbt.jpg,Toán học,,"  Thông tin tác giả    Trần Nam Dũng     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách này tập hợp những bài toán không mẫu mực và để giải được chúng, đa phần chỉ cần đến những kiến thức không vượt quá lớp 6 (trừ một số bài toán hình học hay bài toán chứng minh). Tuy nhiên, để xử lí một cách hoàn chỉnh, chúng ta không có sẵn một khuôn mẫu nào. Tất cả các bài toán đều đòi hỏi khả năng phân tích đề, hiểu rõ yêu cầu của đề bài và vận dụng những kiến thức quen thuộc một cách phù hợp.Vì lẽ đó, đây sẽ là một cuốn sách bổ ích cho các bạn học sinh muốn phát triển tư duy Toán học, khả năng suy luận. Đồng thời, với những bài toán được phát biểu rất vui, rất gần gũi với cuộc sống trong cuốn sách này cũng sẽ đem lại cho các bạn những phút thư giãn cần thiết. Và như thế, một đối tượng nữa mà cuốn sách hướng đến là những “người lớn yêu toán”, đặc biệt là đến các vị phụ huynh học sinh. Không có gì tuyệt vời và ích lợi hơn là trong gia đình, bên cạnh những câu chuyện về phim ảnh, thể thao, âm nhạc, chúng ta có thể cùng nhau giải những bài toán - những câu đố về toán. Vừa thư giãn vừa bổ ích!Các bài toán trong cuốn sách này được biên soạn từ nhiều nguồn từ những cuộc thi Olympic toán và cuộc thi giải toán ở các cấp như Abacus International, APMOPS, Olympic Toán Matxcova",50.000,,,,,,,,,,,,, 220.00 gam , 14.5 x 20.5 cm , 9786048017897 , 07/2016 , Tiếng Việt ,, Sputnik , Nxb Thông tin & truyền thông , 172 , Trần Nam Dũng , Bìa mềm 
355,Các Bài Giảng Về Toán Cho Mirella - Quyển 2,https://www.vinabook.com/images/thumbnails/product/240x/307918_p66402mscan0001.jpg,Toán học,,"  Thông tin tác giả    Nguyễn Tiến Dũng 
                                                                                                                                            Nguyễn Tiến Dũng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đây là quyển tiếp theo của quyển sách ""Các bài giảng về toán cho Mirella""Phương pháp tiếp cận toán học khác với trên lớp.Mirella không học chuyên toán, cũng không đi học thêm toán ở đâu. Tuy nhiên có đoạt hai giải thưởng thi học sinh giỏi toán ở Pháp.Dành cho học sinh cấp 2 và cấp 3 (và cả người lớn thích toán)Mời bạn đón đọc. ",78.000,,,,,,,,,,,,, 220.00 gam , 14.5 x 20.5 cm , 9786048027285 , 12/2017 , Tiếng Việt ,, Sputnik , Nxb Thông tin & truyền thông , 152 , Nguyễn Tiến Dũng , Bìa mềm 
