tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Cơ Thể Tự Chữa Lành: Giải Cứu Gan,https://www.vinabook.com/images/thumbnails/product/240x/363416_p92726mcothetuchualanh3bia1.jpg,Y học thường thức,"  Thông tin tác giả    Anthony William     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ thể tự chữa lành - Giải cứu gan là cuốn sách tiếp theo trong bộ sách Cơ thể tự chữa lành của tác giả có sách bán chạy số 1 theo New York Times bình chọn: Anthony William. Trong tác phẩm mới này, ông sẽ hé mở bức màn bí mật về đặc điểm, cơ chế hoạt động và những điều bí ẩn xoay quanh lá gan của con người.Trong thế giới hiện đại, chúng ta không hề biết rằng có bao nhiêu triệu chứng, tình trạng và bệnh lý bắt nguồn từ một lá gan quá tải, trì trệ và ứ đọng. Không chỉ có ung thư gan, xơ gan và viêm gan. Gần như mọi khổ sở về sức khỏe – từ vấn đề sức khỏe tổng thể, vấn đề về tiêu hóa, bất ổn về cảm xúc, tăng cân bất thường, cao huyết áp, vấn đề tim mạch, sương mù não, vấn đề về da, tới các bệnh mạn tính và tự miễn khác – đều có nguồn gốc sâu xa từ một lá gan bị tổn thương.Cơ thể tự chữa lành - Giải cứu gan mang tới cho người đọc lời giải và cách xử lý khi phải đối mặt với nhiều thách thức về thể chất cũng như tinh thần. Với lòng trắc ẩn sâu sắc, Anthony William đã hào phóng chia sẻ với tất cả chúng ta những thông tin độc nhất vô nhị về hàng ngàn chức năng bí ẩn của gan, giải thích nguyên nhân cốt tủy của hàng loạt vấn đề sức khỏe đang kìm hãm chúng ta, đồng thời hướng dẫn chi tiết cách khắc phục và giải quyết chúng, để ta có thể sống thực sự khỏe mạnh và hạnh phúc.Tìm hiểu cách thức giải cứu gan chính là chuẩn bị cho bản thân một tâm trí rõ ràng, một tinh thần ổn định và một thân thể khỏe mạnh để ứng phó với cuộc sống tất bật và đầy rẫy khó khăn hiện nay. Học cách giải cứu gan còn là học cách ngủ ngon, cân bằng đường huyết, hạ huyết áp, giảm cân, và trông tươi trẻ hơn.Một lá gan khỏe mạnh sẽ là đồng minh trung thành và tận tụy của chúng ta trên hành trình đến với con người tốt đẹp nhất của mìnhMời bạn đón đọc! ",250.0, 23 x 18 cm , 11/2020 , Ngô Thế Vinh , Huy Hoàng , NXB Thanh Niên ,624.0, Anthony William , Bìa mềm 
Cơ Thể Tự Chữa Lành: Thực Phẩm Thay Đổi Cuộc Sống,https://www.vinabook.com/images/thumbnails/product/240x/363426_p92729mimage195509139595.jpg,Y học thường thức,"  Thông tin tác giả    Anthony William     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ thể tự chữa lành: Thực phẩm thay đổi cuộc sống - Thần dược đến từ trái cây và rau củ giúp chúng ta tăng nhận thức và có cái nhìn mới về những loại trái cây và rau củ -  những tinh túy mà thiên nhiên đã ban tặng cho chúng ta. Đối với mỗi loại thực phẩm được liệt kê trong cuốn sách, tác giả sẽ kèm theo một danh sách các căn bệnh và triệu chứng mà thứ trái cây hoặc rau củ đó sẽ giúp giảm nhẹ tình trạng bệnh, đồng thời chỉ ra rất nhiều lợi ích của chúng trong việc hỗ trợ về mặt tinh thần và cảm xúc. Ngoài ra, còn có những công thức các món ăn ngon lành và dễ làm xuyên suốt cuốn sách.Khi bạn làm theo hướng dẫn trong cuốn sách, việc mua sắm và nấu ăn mang ý nghĩa mới, bởi vì linh hồn của trái cây hoặc rau củ sẽ bắt đầu trò chuyện với bạn, tác động đến cơ thể lẫn cuộc sống của bạn. Bạn sẽ bắt đầu cảm thấy thực sự được thiên nhiên hỗ trợ, và phần ban sơ sâu thẳm nào đó trong bạn sẽ bắt đầu tỉnh giấc. Đọc cuốn sách này, khai thác sức mạnh tinh thần và cảm xúc của trái cây và rau củ chính là liều thuốc hiệu nghiệm giúp ta hòa hợp với người luôn hỗ trợ tất cả chúng ta - chính là Mẹ trái đất. Niềm hy vọng và sức sống sẽ bắt đầu trở lại với chúng ta và lan tỏa. Cảm giác đó tựa như trở về mái ấm thiên đường trên mặt đất vậy.Mời bạn đón đọc! ",185.0, 23 x 18 cm , 11/2020 , Mokona , Huy Hoàng , NXB Thanh Niên ,464.0, Anthony William , Bìa mềm 
Cẩm Nang Chăm Sóc Răng Miệng Toàn Diện,https://www.vinabook.com/images/thumbnails/product/240x/363402_p92720mhhbiacamnangchamsocrangmienge08309d830fb47dfb75c648bf2b2b208compact.jpg,Y học thường thức,"  Thông tin tác giả    Nadine Artemis     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Chia sẻ 8 bước tự chăm sóc răng miệng hiệu quả, bật mí sự thật về kem đánh răng, bàn chải và nước súc miệng, khám phá các chiết xuất thực vật hữu ích bảo vệ răng miệng. Với những kiến thức bao quát mới mẻ, Cẩm nang chăm sóc răng miệng toàn diện sẽ giúp bạn đưa ra được những quyết định sáng suốt để giữ gìn sức khỏe  lâu dài cho răng miệng: bạn sẽ thấy nướu khỏe hơn, răng trắng sáng hơn và hơi thở luôn thơm mát mỗi ngày.Mời bạn đón đọc! ",78.0, 13.5 x 20.5 cm , 11/2020 ,, Huy Hoàng , NXB Thanh Niên ,216.0, Nadine Artemis , Bìa mềm 
Ăn Là Nguồn Yêu Sống,https://www.vinabook.com/images/thumbnails/product/240x/363382_p92714mhhbiaanlanguonyeusong.jpg,Y học thường thức,"  Thông tin tác giả    Jenna Hollenstein     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ăn là nguồn yêu sống dành cho vấ cứ ai đang phải vật lộn với thói quen ăn uống theo cảm xúc, mắc chứng rối loạn ăn uống và thiếu tự tin về hình thể. Là giáo viên dạy thiền và chuyên gia hàng đầu về Dinh dưỡng trực quan, Jenna Hollenstein đã chuyển những giáo lý Phật giáo cũng như khoa học về hành thiền và trưởng dưỡng lòng trắc ẩn thành một chỉ dẫn dễ-hiểu-và-dễ-theo để thúc đẩy hành trình Ăn là nguồn yêu sống của chúng ta.Mời bạn đón đọc! ",145.0, 20.5 x 13.5 cm , 11/2020 , Jenna Hollenstein , Huy Hoàng , NXB Phụ Nữ ,432.0, Jenna Hollenstein , Bìa mềm 
Ăn Gì Cho Không Độc Hại (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/363088_p92639mnxbtrethumb16302020093002.jpg,Y học thường thức,"  Thông tin tác giả    Pha Lê     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Dinh dưỡng là một đề tài rối rắm . Không chỉ là chuyện ăn, nó còn gắn liền với khoa học, văn hóa, truyền thống, sức khỏe, cảm giác được chăm sóc, sự no ấm, sự hạnh phúc… Chính vì phức tạp nên nó dễ bị hiểu sai, và thông tin về nó dễ bị lợi dụng.Trong tình cảnh đó, cuốn sách này ra đời với hy vọng giúp những ai đang băn khoăn trước mớ thông tin về dinh dưỡng đang chất đống như mặt hàng trên kệ siêu thị được yên tâm. Yên tâm để biết mình nên lựa thông tin nào đem về nhà. Yên tâm để điềm tĩnh trước những thông tin, nghiên cứu mới về chất nọ vitamin kia cứ ồ ạt sinh sôi mỗi ngày - những thứ khiến mình nghi ngờ rằng cả nhà mình lẫn tổ tiên mình trước đây đều ăn uống sai bét.Tôi không có ý định thay đổi gì ai. Quá nhiều người đang muốn làm chuyện này rồi. Cuốn sách chỉ đưa ra hướng dẫn, giúp người muốn tìm hiểu về sức khỏe và môi trường có một cái nhìn khác. Tức tôi có thể đưa ra hướng cho người đọc yên tâm đi, nhưng đầu tiên họ phải muốn đi cái đã."" (Pha Lê)Cuốn sách là câu chuyện thú vị và bổ ích về thực dưỡng, ăn chay, thực phẩm hữu cơ",100.0, 15.5 x 23 cm , 10/2020 ,, NXB Trẻ , Nxb Trẻ ,320.0, Pha Lê , Bìa mềm 
Cơ Thể Ta Đã Hai Triệu Năm - Giải Mã Các Căn Bệnh Thời Hiện Đại,https://www.vinabook.com/images/thumbnails/product/240x/362875_p92587mcothetadahaitrieunamtrc.jpg,Y học thường thức," Những người nguyên thủy vốn cầm dao và cung đi săn
bắn. Để tăng hiệu quả săn bắn, huyết áp của họ tăng lên như một cách thích nghi
sinh tồn. Thế nhưng, người hiện đại hầu như không phải chạy nhiều, họ không có
lý do gì cần phải tăng huyết áp cả. Vậy tại sao huyết áp vẫn cứ tăng cao? Việc
tăng huyết áp có phù hợp với sự sinh tồn của người hiện đại không? Hay chúng ta
bị tăng huyết áp lên chẳng để làm gì cả? Hiện nay, hầu hết chúng ta ăn đủ ba bữa một ngày,
sống trong phòng kín, di chuyển bằng xe, mặc quần áo ấm. Thế nhưng, cơ thể
chúng ta vẫn sử dụng những gien tương thích với lối sinh hoạt của con người từ
thời nguyên thủy. Điều nay gây ra nhiều vấn đề lớn nhỏ.  Qua cuốn sách “Cơ Thể Ta Đã Hai Triệu Năm –
Giải mã các căn bệnh thời hiện đại”, chúng ta sẽ cùng nhau tìm hiểu và nhận biết
những cơ chế thích nghi nguyên thủy của con người. Từ đó đưa ra
những thay đổi trong chế độ ăn, thói quen sinh hoạt để điều chỉnh những cơ chế
này cho phù hợp với đời sống hiện đại cũng như đem lại lợi ích sức khỏe tối đa. Nhìn vào thực tế, chúng ta không thể chăm sóc sức
khỏe đúng cách không phải vì thiếu thông tin, ngược lại, có nhiều trường hợp do
có quá nhiều thông tin mà gây hại cho sức khỏe. Chúng ta bị loạn trước vô vàn
kiến thức về sức khỏe trên các phương tiện truyền thông. Ví dụ: bên cạnh thông
tin cho rằng vitamin C liều cao có công dụng ngăn ngừa ung thư và cảm cúm, thì cũng
có thông tin cho rằng bổ sung quá nhiều vitamin C có thể gây hại cho cơ thể.
Nhiều nghiên cứu về sức khỏe hiện vẫn đang mâu thuẫn với nhau. Tuy nhiên cũng
thật khó để nhanh chóng đưa ra một góc nhìn khác với những kết quả nghiên cứu
trong suốt nhiều năm của các chuyên gia. Vậy rốt cuộc, chúng ta nên nghe theo
ai đây? Có nhiều cách để quan sát cơ thể con người. Bất kể
là quan sát theo Đông y, Tây y, Đông Tây y kết hợp hay dựa vào những phân tích
khoa học chi tiết thì cũng đều mang đến nhiều góc nhìn khác nhau. Thực tế, việc
rút ra những kết quả nghiên cứu đa dạng về sức khỏe với nhiều góc nhìn khác
nhau như vậy là cần thiết. Trong cuốn sách “Cơ thể ta đã hai triệu năm –
Giải mã các căn bệnh thời hiện đại”, ngoài việc đưa ra nhiều góc nhìn về sức
khỏe, tác giả còn xem xét vấn đề sức khỏe từ quan điểm rằng
con người thay đổi, thích nghi, sống sót như thế nào là tùy theo hoàn cảnh. Với lập trường
như vậy chúng ta sẽ vượt qua được cái nhìn phiến diện và có cái nhìn thực chất
hơn về sức khỏe. Quan điểm này là đúng hay sai, quan điểm kia là đúng hay sai?
Chúng ta sẽ không nói như vậy nữa. Thay vào đó là góc nhìn rộng mở về sức khỏe
của nhiều người. Hơn nữa, qua góc nhìn như vậy, chắc chắn bạn có thể tự mình
phán đoán được những thông tin đúng đắn về sức khỏe, trang bị cho bản thân khả
năng tự quyết định.Mời bạn đón đọc! ",79.0, 14.5 x 20.5 cm , 10/2020 , Phạm Hồng Nhung , Thái Hà , Nxb Thế giới ,204.0,, Bìa mềm 
Trái Tim Của Bé,https://www.vinabook.com/images/thumbnails/product/240x/362372_p92416mbe.jpg,Y học thường thức,"  Thông tin tác giả    BS. Ngô Bảo Khoa     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     ""Trái tim của bé"" là một tài liệu hữu ích của Bác sĩ Ngô Bảo Khoa dành cho ba mẹ và những
gia đình có trẻ bị bệnh tim bẩm sinh hoặc bệnh tim thứ phát. Sách cung cấp những
kiến thức đầy đủ và mới nhất về căn bệnh tim ở trẻ nhỏ giúp phụ huynh hiểu rõ
cơ chế bệnh sinh, những quan sát, dự đoán cũng như cách phòng ngừa và chữa trị
cơ bản.Mời bạn đón đọc. ",120.0, 15.5 x 23 cm , 29/09/2020 ,, NXB Trẻ , Nxb Trẻ ,194.0, BS. Ngô Bảo Khoa ,
Sơ Cứu Nhanh - Cẩm Nang Cho Mọi Gia Đình,https://www.vinabook.com/images/thumbnails/product/240x/362674_p92524msocuu.jpg,Y học thường thức,"  Thông tin tác giả    Trần Thị Huyên Thảo 
                                                                                                                                            • Thủ khoa đầu vào, Đại học Y Dược TP.HCM, năm 1997.• Bằng Y khoa MBBS (Bằng danh dự), Đại học Monash, Melbourne, Úc.• Bằng Thạc sĩ Y khoa (Nhi khoa), Đại học Sydned, Sydney, Úc.• Bác sĩ Nhi khoa, Phòng khám International SOS, TP.HCM, Việt Nam.• Trang cá nhân: ",130.0, 15.5 x 23 cm , 2020 ,, NXB Trẻ , Nxb Trẻ ,140.0, Trần Thị Huyên Thảo , Bìa mềm 
Hiểu Biết Để Điều Trị Thành Công Bệnh Đái Tháo Đường,https://www.vinabook.com/images/thumbnails/product/240x/362591_p92497mdaithaoduong.jpg,Y học thường thức,"  Thông tin tác giả    Nguyễn Quang Bảy     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     “Theo thống kê của Hội Đái tháo đường Mỹ thì tính chung trên toàn thế giới:Cứ mỗi 10 giây, có 1 người chết do đái tháo đường.Cứ mỗi 10 giấy có thêm 2 người mới bị đái tháo đường.Cứ mỗi 5 phút có 1 người bệnh đái tháo đường bị nhồi máu cơ tim.Cứ mỗi 30 giây có 1 người bệnh đái tháo đường bị cắt chân (trong khi 30 phút có 1 người bị cắt cụt chân do mìn)Khoảng 1/3 số bệnh nhân đái tháo đường sẽ có các biến chứng về mắt, và nó là nguyên nhân gây mù hàng đầu ở nhóm người trong độ tuổi lao động. Bệnh nhân đái tháo đường có nguy cơ bị các biến chứng tim mạch (nhồi máu cơ tim, tai biến mạch não) cao gấp 2-3 lần người không bị đái tháo đường. Người đái tháo đường có nguy cơ bị suy thận giai đoạn cuối cao gấp 10 lần người không bị đái tháo đường.Mỗi năm có khoảng 4 triệu người đái tháo đường tử vong, một nửa trong số đó là dưới 60 tuổi”.“Tại thời điểm 2019, trên thế giới có 351,7 triệu người trong độ tuổi lao động bị đái tháo đường. Con số này sẽ tăng lên 417,3 triệu người vào năm 2030 và 486,1 triệu người vào năm 2045. Việt Nam nằm trong nhóm những quốc gia có tốc độ gia tăng bệnh nhanh nhất”. (Trích đoạn)Hiểu biết để điều trị thành công bệnh đái tháo đường là cuốn sách được viết bởi một chuyên gia trong lĩnh vực giảng dạy và điều trị bệnh – Tiến sĩ, bác sĩ Nguyễn Quang Bảy.Với 110 mục ở dạng hỏi – đáp, tác giả đã đưa đến một lượng kiến thức phổ cập cơ bản về bệnh tiểu đường, từ cách nhận biết, phòng tránh, đến cách chữa trị, cũng như việc ăn uống, chế độ sinh hoạt, và cả lời khuyên dành cho người nhà trong việc chăm sóc người mắc bệnh (chăm sóc từ những việc nhỏ nhất như nên chọn giày và tất cho người bị bệnh đái tháo đường vào thời điểm nào trong ngày).Ngoài ra, bản thảo còn có bài viết của những người đã, đang và có người nhà mắc bệnh đái tháo đường ở Việt Nam, cũng như câu chuyện của các ngôi sao trên thế giới, với thông điệp: bệnh đái tháo đường không phải là bản án tử hình, nếu có sự hiểu biết đầy đủ và nghiêm chỉnh thực hiện chế độ ăn nghỉ, thể dục thể thao, dùng thuốc và giữ vững tinh thần lạc quan.Mời bạn đón đọc. ",94.0, 15.5 x 23.5 cm , 07/10/2020 ,, NXB Phụ Nữ , NXB Phụ Nữ ,244.0, Nguyễn Quang Bảy , Bìa mềm 
Ung Thư - Hiểu Để Chữa Lành,https://www.vinabook.com/images/thumbnails/product/240x/361666_p92302mungthu.jpg,Y học thường thức,  Thông tin tác giả    Lý Trị Trung Boluo     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Có một sự thật đáng buồn là trên thế giới càng hiện đại thì tỷ lệ người bệnh mắc ung thư lại càng tăng cao. Số liệu thống kê mới của WHO đã cảnh báo số ca mắc ung thư sẽ tăng 81% tại các quốc gia có thu nhập thấp và trung bình vào năm 2040 vì các nguyên nhân như chế độ ăn uống và ô nhiễm môi trường,189.0, 16 x 23 cm , 12/10/2020 , Nguyễn Thị Vân Tuyền , 1980Books , NXB Dân Trí ,452.0, Lý Trị Trung Boluo , Bìa mềm 
Đừng Chết Bởi Canxi,https://www.vinabook.com/images/thumbnails/product/240x/362309_p92406mdungchetboicanxitruoc.jpg,Y học thường thức,"  Thông tin tác giả    Thomas E. Levy     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nay chúng ta đều biết rằng kiến thức địa chất được
công nhận trong thời đại của Christopher Columbus đã được xây dựng trên nền
tảng không vững chắc. Vào thế kỷ 15, “chân lý” trái đất phẳng dường như là điều
hiển nhiên và không bị nghi ngờ. Kể từ đó, quan điểm về địa cầu của chúng ta đã
biến đổi nhiều. Ngày nay, thật khó có thể tưởng tượng được bằng cách nào người
ta lại có thể dựng lên một quan niệm đơn giản, hai chiều như vậy về hành tinh
của chúng ta. Tuy nhiên trước khi đi đến chỗ quá tự mãn, chúng ta
cần phải nhận ra rằng con người vẫn hay chế ra các mô hình khiếm khuyết của
thực tại. Các lý thuyết được hình thành với rất ít bằng chứng hỗ trợ nhưng lại
được tâng bốc như chân lý là chuyện quá thường gặp, trong khi hàng đống bằng
chứng ủng hộ điều ngược lại bị bỏ qua và thậm chí bị sửa đổi. Thông thường,
những thực tại nhuốm màu cổ tích được chấp nhận là đúng vì ta muốn hoặc cần
chúng được coi là đúng. Việc quá phổ biến là nhiều nhà khoa học, và cả những
người không chuyên, mạo hiểm danh tiếng chuyên môn và cá nhân của họ để trung
thành với những kết luận đã được định trước – ngay cả sau khi “chân lý” không
thể bác bỏ của họ được chứng minh là sai. Canxi cũng rơi vào một trường hợp như thế. Chúng ta được dạy một cách võ đoán, như một kiến
thức y học hiển nhiên, rằng cách phòng ngừa và điều trị tốt nhất cho chứng
loãng xương là tăng lượng canxi nạp vào. Đúng là xương có hàm lượng canxi lớn.
Cũng đúng là khi bị loãng xương thì xương mất đi một lượng canxi đáng kể. Chỉ
dựa trên hai sự việc riêng rẽ này, người ta kết luận rằng tăng tiêu thụ canxi
sẽ ngăn ngừa và có thể đảo ngược tình trạng này. Thật không may, điều đó hoàn toàn sai. Canxi rất cần thiết cho hoạt động của cơ thể. Đó
không phải là điều cần bàn cãi. Các nghiên cứu và kết luận được trình bày trong
cuốn Đừng chết bởi canxi không nhằm kích động một cuộc thánh chiến chống
lại chất dinh dưỡng thiết yếu này. Mục đích của cuốn sách là phơi bày mối nguy hiểm
thực sự và nghiêm trọng từ việc nạp quá nhiều canxi vào cơ thể. Cũng giống như
sắt và đồng, canxi là tuyệt đối cần thiết cho sức khỏe. Tuy nhiên, nạp quá mức
ba thành phần dinh dưỡng này thì lại rất độc hại. Thiếu hụt các chất dinh dưỡng
trên chắc chắn là điều không ai mong muốn, thế nhưng chỉ rất ít người Mỹ gặp phải
tình trạng này. Một nỗi sợ hãi phi lý về tình trạng thiếu hụt vốn hiếm gặp và
dễ điều trị như vậy không thể là cái cớ để thường xuyên nạp vào cơ thể lượng
chất dư thừa cực kỳ độc hại. Hầu hết chúng ta đang gặp một loạt các vấn đề sức
khỏe vì lựa chọn thực phẩm và lối sống không tốt. Chịu ảnh hưởng của những thứ
được công nhận rộng rãi là chế độ ăn lành mạnh, thực đơn điển hình của người Mỹ
chứa đầy những thực phẩm bão hòa canxi. Tồi tệ hơn, dân Mỹ còn thường được
khuyên rằng, mọi người, nhất là phụ nữ sau mãn kinh, nên tăng cường lượng canxi
nạp vào hằng ngày bằng cách bổ sung canxi. Chính điều này làm tăng đáng kể tỷ
lệ đau tim, suy thận, đột quỵ và các hậu quả không mong muốn khác. Tình trạng
thực sự thiếu hụt canxi trong toàn bộ cơ thể hầu như không tồn tại, nhưng tình
trạng dư thừa quá nhiều canxi lại rất phổ biến và cực kỳ độc hại, nó chắc chắn
dẫn đến bệnh tật và tử vong sớm. Ngoài ra, việc triệt bỏ lượng canxi dư thừa
tồn đọng lâu dài trong cơ thể là một quá trình khó khăn và phức tạp. Thực ra, lượng canxi cần thiết cho tế bào hoạt động
khỏe mạnh là vô cùng nhỏ so với lượng canxi được tìm thấy trong xương. Hầu hết
người trưởng thành không có nhu cầu nạp nhiều canxi và càng có tuổi thì lượng
canxi cần thiết giảm càng nhanh vì họ đã tích lũy được lượng canxi đáng kể. Giống như sắt và đồng, chỉ cần có nồng độ nhích nhẹ
qua mức cần thiết là canxi nhanh chóng trở nên độc hại. Hầu như không có ngoại
lệ, những người bị loãng xương đều có lượng canxi dư thừa độc hại bên ngoài mô
xương. Chỉ riêng thực tế này đã nêu bật sai lầm của việc bổ sung canxi trong
điều trị loãng xương. Chính lượng canxi dư thừa nạp qua đường tiêu hóa này cùng
với canxi được giải phóng thường xuyên từ xương loãng gây ra mối đe dọa nguy
hiểm nhất đối với sức khỏe và tính mạng khi nó đi vào và di chuyển quanh tất cả
các tế bào trong cơ thể, thúc đẩy bệnh tật ở bất cứ nơi nào nó tích tụ. Những
bệnh đáng chú ý bao gồm bệnh tim mạch, huyết áp cao, đột quỵ và ung thư. Tuy
nhiên, sự thật là nó gây ra và đẩy nhanh tất cả các bệnh thoái hóa mạn tính. Một khi canxi bắt đầu lắng đọng trong các cấu trúc
không phải là xương, các phản ứng bù của cơ thể sẽ càng rút thêm nhiều canxi từ
xương vì canxi lắng đọng được đưa ra khỏi vòng tuần hoàn máu. Điều này lại càng
thúc đẩy việc kê đơn bổ sung canxi, do đó càng làm tăng lượng chất lắng đọng
gây hại cho sức khỏe trong khắp cơ thể. Khi đã xuất hiện trạng thái thừa canxi trên khắp cơ
thể, bất kỳ lượng canxi thêm vào nào cũng là quá nhiều vì nó thúc đẩy chức năng
bất thường ở cấp độ tế bào, tuyến và cơ thể. Đó là lý do phải ngừng bổ sung
canxi, cắt giảm chế độ ăn thừa canxi, và tránh tất cả các loại thực phẩm giàu
canxi, tăng cường vitamin D. Trong các trang tiếp theo, bạn sẽ gặp bằng chứng
thực sự đáng kinh ngạc cho thấy tính độc hại của tình trạng thừa canxi vốn tồn
tại ở hầu hết người lớn tuổi hiện nay. Bạn sẽ biết tại sao canxi bổ sung không
giúp trị chứng loãng xương, mà thực ra còn làm trầm trọng thêm tất cả các bệnh
thoái hóa mạn tính đã biết. Bạn cũng sẽ học được các phương pháp mà bạn và bác
sĩ của bạn có thể sử dụng để đạt được và duy trì mức dinh dưỡng tối ưu nhằm đối
phó với chứng loãng xương cũng như nhiều loại bệnh khác. Nếu được điều trị đúng
cách, chứng loãng xương và hầu hết các bệnh hiện được coi là hầu như không thể đảo
ngược đều có thể được cải thiện đáng kể.

Hi
vọng rằng khi những chân lý trong Đừng chết bởi canxi
được áp dụng, bạn và vô số người khác sẽ không phải chịu những hậu quả đau lòng
từ độc tính vốn dễ tránh của canxi thừa. Cầu cho chân lý giúp chúng ta sống lâu
hơn và khỏe mạnh hơn.Mời bạn đón đọc. ",159.0, 15.5 x 24 cm , 25/09/2020 , Nhiều dịch giả , Thái Hà , Nxb Thế giới ,360.0, Thomas E. Levy , Bìa mềm 
Làm Sạch Mạch Và Máu (Tái Bản 2020),https://www.vinabook.com/images/thumbnails/product/240x/361600_p92256mscan0001.jpg,Y học thường thức,"  Thông tin tác giả    Nishi Katsuzo  Nishi Katsuzo (1884 - 1959) là người sáng lập của Nishi Shiki Nhật Bản năm 1927, tại thời điểm đó ông là kỹ sư trưởng cho dự án tàu điện đầu tiên của Nhật. Ông cũng là một giáo viên dạy Aikido.    Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Trong cuộc sống hiện nay, nhiều người tự hỏi: Liệu có phương cách nào giúp chúng ta tránh được những căn bệnh hiểm nghèo ngày càng gia tăng, không chỉ ở những người cao tuổi, mà ngay cả những người còn trẻ – đang độ tuổi cống hiến nhiều nhất? Thủ phạm của các căn bệnh như nhồi máu cơ tim, tai biến mạch máu não, liệt nửa người, thậm chí chết “bất đắc kỳ tử”… là gì? Nishi Katsuzo trả lời trong tập sách Làm sạch mạch và máu qua các phần như Tuần hoàn máu bình thường – dòng sông của sự sống, Sức khỏe của cột sống – sức khỏe của các mạch, Thở đúng nghĩa là gì? Dinh dưỡng để đẩy mạnh hoạt động của não, Học cách để trở thành người hạnh phúc … Ở đây, tác giả nhấn mạnh đến yếu tố vận động, bởi trong tự nhiên diễn ra sự chuyển động thường xuyên của năng lượng, sự chuyển động thường xuyên của các lực sống. Do đó, đừng bao giờ phá hủy một trong những quy luật chủ yếu của tự nhiên: quy luật vận động. Khi ai đó bắt bản thân mình bất động – và cũng có nghĩa là bị bệnh. Khi bị bệnh có phải nhất thiết phải dùng thuốc? Nishi Katsuzo lập luận: “Thuốc không phải là chất sống động, không là vốn có của cơ thể từ tự nhiên. Nếu bạn xem xét một cách cẩn trọng viên thuốc bạn sẽ không thấy trong đấy có cái gì là sự sống cả. Trong đó không hề có những rung động sống, không có những bước sóng phát ra từ năng lượng sống, không hề có sự tỏa sáng bên trong đặc biệt nào do sự sống tỏa ra”. Với quan điệm này, tác giả cho rằng: “Chúng ta không bóp chết bệnh bằng thuốc – tốt nhất chúng ta tự lắng nghe tiếng nói của nó, lắng nghe tín hiệu báo động phát ra từ đó, tín hiệu đưa đến cho chúng ta lực chữa lành bệnh của cơ thể đặc biệt của chúng ta. Chính bởi lực chữa lành bệnh nói rằng: hãy làm cho sự sống quay trở lại tại nơi nó đã bị hoại tử. Hãy làm cho lực và năng lượng quay trở lại ở nơi nó đã trở nên bất động!”. Nói cách khác, chữa bệnh là phải tiêu diệt tận gốc nguyên nhân gây ra bệnh. Vì lẽ đó, tác giả còn nhấn mạnh đến yếu tố an lành, vui sống trong đời sống tinh thần… Có thể nói tập sách Làm sạch mạch và máu gợi mở nhiều suy nghĩ lý thú và hữu ích cho người đọc.Mời bạn đón đọc. ",75.0, 14.5 x 20.5 cm , 17/09/2020 , Trương Thị Thảo , Thái Hà , Nxb Lao động ,248.0, Nishi Katsuzo , Bìa mềm 
Đừng Ốm - Bí Quyết Sống Khỏe Trong Thế Giới Đầy Rẫy Mầm Bệnh,https://www.vinabook.com/images/thumbnails/product/240x/361588_p92244mdungom.jpg,Y học thường thức,"  Thông tin tác giả    Ban biên tập Tạp chí Prevention     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cứ vài năm, chúng ta lại phải đối mặt với nỗi sợ về một đợt bùng phát dịch bệnh mới như SARS, H1N1, hay COVID-19. Các chuyên gia sức khỏe nhấn mạnh rằng việc tự chăm sóc bản thân thông minh chính là chìa khóa để ngăn chặn sự lây lan của các bệnh truyền nhiễm. Dù chúng ta không thể tránh hoàn toàn tiếp xúc với virus hay vi khuẩn, nhưng có nhiều cách để giúp tăng cường hệ miễn dịch cũng như giảm phơi nhiễm với mầm bệnh.Dựa trên nghiên cứu khoa học cùng các cuộc phỏng vấn chuyên gia hàng đầu, Đừng ốm – Bí quyết sống khỏe trong thế giới đầy rẫy mầm bệnh sẽ tiết lộ:- Nơi virus, vi khuẩn ưa trú ngụ?- Những thói quen khiến bạn dễ mắc bệnh truyền nhiễm?- Sản phẩm tăng cường miễn dịch chuyên gia khuyên dùng?Đặc biệt, cuốn sách bật mí 50 bí quyết đơn giản mà hiệu quả, cùng vô vàn lời khuyên thiết thực từ các bác sĩ và chuyên gia, giúp bạn SỐNG KHỎE mỗi ngày.Mời bạn đón đọc. ",109.0, 14 x 20.5 cm , 17/09/2020 , Nhiều dịch giả , Alpha books , NXB Dân Trí ,200.0, Ban biên tập Tạp chí Prevention , Bìa mềm 
