,tên sách,ảnh bìa,thể loại,tác giả,nội dung tóm tắt,giá bìa,công ty phát hành,nhà xuất bản,ngày xuất bản,kích thước,loại bìa,số trang,dịch giả,path,phiên bản,thương hiệu,xuất xứ,xuất xứ thương hiệu, khối lượng, kích thước, mã sản phẩm, ngày phát hành, nhà phát hành, nhà xuất bản, số trang, tác giả, định dạng, ngôn ngữ, người dịch
362,Hoá Học Và Công Nghệ Sản Xuất Xi Măng,https://www.vinabook.com/images/thumbnails/product/240x/23740_30197.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Võ Đình Lương     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Xi măng là loại vật liệu xây dựng quan trọng nhất, là vật liệu cơ bản trong cây dựng các công trình dân dụng và công nghiệp, cũng như xây dựng cơ sở hạ tầng của nền công nghiệp hiện đại. Xi măng cũng có những tính năng ưu việt hơn hẳn tất cả các loại vật liệu xây dựng khác. Công nghệ sản xuất xi măng trên thế giới hiện tại và tương lai không ngừng phát triển. Bước vào thời kỳ hội nhập kinh tế khu vực và thế giới, thực hiện đường lối đổi mới của Đảng, ngành công nghệ sản xuất xi măng của Việt Nam đã có những bước tiến rất nhanh và vững mạnh. Từ đó đã đặt ra một vấn đề rất lớn là công tác đào tạo đội ngũ kỹ sư silicat và kỹ sư công nghệ vật liệu xây dựng, có khả năng quản lý tốt về kinh tế kỹ thuật, cũng như đào tạo đội ngũ cán bộ kỹ thuật và công nhân có tay nghề cao, bảo đảm thực hiện công việc điều hành sản xuất ở các nhà máy đạt hiệu quả kinh tế kỹ thuật tốt nhất. Chính với mục đích trên, sách “hoá học và công nghệ sản xuất xi măng” đã được biên soạn. Trước tiên nhằm trang bị cho sinh viên của các trường đại học và cao đẳng về chuyên ngành công nghệ vật liệu silicat và chuyên ngành công nghệ vật liệu xây dựng những kiến thức cơ bản, đồng thời có hệ thống về công nghệ sản xuất các chất kết dính nói chung, đặc biệt là đối với xi măng portland nói riêng. Mục lục: Lời nói đầu Phần mở đầu: Khái niệm chung Phần 1: Các chất kết dính bền trong không khí Chương 1: Vôi xây dựng Chương 2: Thạch cao xây dựng Phần 2: Xi măng Portland Chương 1: Đặc trưng thành phần và các hệ số Modul của Clinke xi măng Portland Chương 2: Nguyên liệu, nhiên liệu và tính toán hỗn hợp phối liệu sản xuất Clinke xi măng Portland Chương 3: Gia công nguyên liệu và chuẩn bị hỗn hợp phối liệu sản xuất Clinke xi măng Portland Chương 4: Quá trình nung luyện Clinke xi măng Portland Chương 5: Nghiền Clinke xi măng Portland Chương 6: Hoá lý quá trình đóng rắn của xi măng xi măng Portland Phần 3: Các loại xi măng thông dụng khác Chương 1: Xi măng Portland – Puzoland Chương 2: Xi măng Portland - xỉ Chương 3: Xi măng Alumin Tài liệu tham khảo Mời bạn đón đọc. ",44.000,,,,,,,,,,,,, 310.00 gam , 16x24 cm , 8935048980668 , 07/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 236 , Võ Đình Lương , Bìa mềm ,,
363,Cơ Cấu Quy Hoạch Của Thành Phố Hiện Đại,https://www.vinabook.com/images/thumbnails/product/240x/22543_28980.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Iu. P. Bocharov     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       O. K. Kudriavxev     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cơ Cấu Quy Hoạch Của Thành Phố Hiện Đại: Ngành quy hoạch đô thị có sứ mệnh quan trọng trong việc tạo ra cơ sở vật chất kĩ thuật của chủ nghĩa cộng sản. Nó bảo đảm những điều kiện cần thiết cho cuộc sống, lao động, sinh hoạt và nghỉ ngơi của nhân dân. Sự tổ chức các thành phố về mặt chức năng, quy hoạch và kĩ thuật trong chừng mực đáng kể sẽ xác định trước các hình thức thực hiện những quá trình đó, thúc đẩy hoặc cản trở sự phát triển của chúng. Cơ cấu quy hoạch là một trong những đặc tính cơ bản của việc tổ chức không gian thành phố hiện đại. Nó phản ánh cách bố trí và mối quan hệ lẫn nhau giữa các khu công nghiệp, các khu nhà ở, khu vực các công trình đô thị, giao thông và các khu chức năng khác. Sự phát triển cơ cấu quy hoạch có liên quan đến việc làm cho các chức năng kinh tế - xã hội của thành phố thêm phức tạp, liên quan đến sự phát triển dân số thành phố, sự tăng thêm diện tích và phân hoá đất đa đã xây dựng để dùng vào những mục đích khác nhau. Cơ cấu quy hoạch phải đảm bảo sự kết hợp các khu chức năng một cách hợp lí trong cơ cấu thống nhất của thành phố và sự ổn định tương đối của những mối quan hệ qua lại giữa các khu vực quan trọng nhất của thành phố trong những giai đoạn phát triển chủ yếu. Sự phát triển nhanh chóng của các thành phố hiện đại đòi hỏi phải giải quyết đúng đắn toàn bộ mạng lưới các công trình phục vụ, đặc biệt là việc bố trí chúng trên mặt bằng thành phố. Trước hết, đó là hệ thống công trình phục vụ cấp thành phố và cấp quận, vì trên cơ sở hợp nhất các ô phố và thành lập những tiểu khu nhà ở, có thể đạt được sự bố trí các công trình cấp 1 một cách điều hoà. Cần phải làm sao để cơ cấu không gian của thành phố không cản trở sự tiếp tục phát triển mạng lưới phục vụ, không gây nên những khó khăn trong việc tổ chức phục vụ dân cư khi phát triển thành phố. Trong điều kiện hiện nay, cần ra sức bố trí khéo léo mối tương quan giữa các khu công nghiệp và các khu nhà ở, tổ chức có suy nghĩ kĩ và đạt được mối quan hệ qua lại giữa chúng một cách ổn định, bảo tồn tính toàn vẹn của thành phố trong mọi giai đoạn phát triển của nó. Việc chọn địa điểm cho các khu nghỉ ngơi, những công trình đô thị và các công trình giao thông lớn cũng cần tiến hành với sự lưu ý đến khả năng tiếp tục phát triển thành phố mà không cần cải tạo căn bản các khu chức năng trước thời hạn. Song song với việc bảo đảm đầy đủ tính hoàn chỉnh của môi trường vật chất – không gian và những thuận lợi cho việc tổ chức sản xuất và đời sống của dân cư, phải quan tâm làm sao cho cơ cấu quy hoạch kiến trúc của thành phố trong mỗi giai đoạn xây dựng lớn bao giờ cũng phù hợp với tiến trình phát triển của nó. Mục lục: Lời tác giả gửi bạn đọc Việt Nam Lời người dịch Lời nói đầu Chương 1: Những tiền đề của sự hình thành cơ cấu quy hoạch của thành phố Sự phát triển mạng lưới khống chế các thành phố Vấn đề điều chỉnh sự phát triển của thành phố Tính toàn vẹn về chức năng và về cơ cấu của thành phố Chương 2: Cơ cấu quy hoạch của thành phố trung tâm sản xuất và khoa học Các phương pháp lí luận chủ yếu trong giải pháp cơ cấu Loại hình các cơ cấu quy hoạch Các sơ đồ thực nghiệm về cơ cấu quy hoạch của thành phố mới Cơ cấu quy hoạch của thành phố khoa học Chương 3: Những cơ sở giao thông của cơ cấu quy hoạch thành phố Tính quy luật của sự thu hút lao động Các hệ thống giao thông Giao thông và sự hoàn chỉnh cơ cấu của khu vực xây dựng nhà ở Phương pháp tính toán sự phân bố dân cư khi giải quyết cơ cấu trung tâm cấp thành phố Chương 4: Những đặc điểm của sự hình thành khu vực trung tâm cấp thành phố Sự bố trí trong không gian và sự tổ chức giao thông của trung tâm Sự hình thành khu trung tâm trong quá trình phát triển thành phố Tài liệu tham khảo Mời bạn đón đọc. ",35.000,,,,,,,,,,,,, 330.00 gam , 19x27 cm ,, 06/2006 , NXB KHKT , Nxb Xây dựng , 176 ," Iu. P. Bocharov , O. K. Kudriavxev ", Bìa mềm ,, Lê Phục Quốc 
364,Móng Cọc Phân Tích Và Thiết Kế,https://www.vinabook.com/images/thumbnails/product/240x/22368_28804.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Nguyễn Thái     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Vũ Công Ngữ 
                                                                                                                                            Vũ Công Ngữ
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Ở nước ta những năm gần đây đã có khá nhiều sách về nền móng công trình được xuất bản. Tuy nhiên, các thông tin mới về thiết kê nền và móng lại được trình bày rải rác và chưa đầy đủ. Cuốn sách này tập hợp khá kỹ lưỡng các kiến thức mới về móng cọc, như các phương pháp mới dự án báo sức chịu tải của cọc, đặc biệt là cọc nhồi; phương pháp tính toán đồng thời cọc - nền đất; các phương pháp thí nghịem cọc (thí nghiệm PDA, Osterberg, Statnamic). Hy vọng rằng cuốn sách này sẽ bổ ích cho các kỹ sư tư vấn và học viên cao học ở Việt Nam. Mục lục: Lời nói đầu Kí hiệu Chương 1: Tổng quan về móng cọc Chương 2: Cọc chế sẵn Chương 3: Cọc nhồi Chương 4: Tính toán cọc làm việc đồng thời với nền Chương 5: Một số phương pháp thí nghiệm cọc Chương 6: Lựa chọn giải pháp móng cọc Phụ lục 1: Tính nén lún và sức chống cắt của đất Phụ lục 2: Một số yếu tố ảnh hưởng đến sức chịu tải của cọc Phụ lục 3: Một số phương trình xấp xỉ Phụ lục 4: File số liệu các ví dụ GRL-WEAP Tài liệu tham khảo. Mời bạn đón đọc. ",43.000,,,,,,,,,,,,, 370.00 gam , 19x27 cm , 8935048961308 , 05/2006 , NXB KHKT , NXB Khoa học và kỹ thuật , 252 ," Nguyễn Thái , Vũ Công Ngữ ", Bìa mềm ,,
365,Sửa Chữa Và Gia Cố Kết Cấu BêTông Cốt Thép,https://www.vinabook.com/images/thumbnails/product/240x/22007_p28441.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Nguyễn Xuân Bích 
                                                                                                                                            Nguyễn Xuân Bích
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sửa Chữa Và Gia Cố Kết Cấu BêTông Cốt Thép:Ngày nay kết cấu bêtông cốt thép đã được sử dụng phổ biến để xây dựng các công trình dân dụng và công nghiệp, giao thông, thủy lợi, quốc phòng v.v",43.000,,,,,,,,,,,,, 440.00 gam , 14.5x20.5 cm , 8935048943243 , 03/2005 , NXB KHKT , NXB Khoa học và kỹ thuật , 448 , Nguyễn Xuân Bích , Bìa mềm ,,
366,Chuyên Gia Xây Dựng - Tiềm Lực Và Ứng Xử,https://www.vinabook.com/images/thumbnails/product/240x/21997_p28431.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Nguyễn Văn Đạt 
                                                                                                                                            Nguyễn Văn Đạt
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Chuyên Gia Xây Dựng - Tiềm Lực Và Ứng Xử:Tiềm lực và ứng xử của Chuyên gia xây dựng hầu như chưa nói hết những điều muốn nói..Thật dễ hiểu, tiềm lực là vô cùng, trình độ ứng xử lại được đo bằng mức độ linh hoạt và phong phú của quá trình nhận thức thực tiễn.Mọi sáng tạo đều bắt nguồn từ những ý tưởng mới và chỉ hoàn thiện sau thời gian trắc nghiệm, cuối cùng phải đem lại hiệu quả đáng kể về kinh tế và kỹ thuật.Ngày nay, đối tượng được quan tâm nhiều trong ngành xây dựng và kinh doanh nhà cao tầng, đó là ý tưởng về phương pháp phân tích và nhận dạng trạng thái của nền cọc làm cơ sở để lựa chọn giải pháp móng cọc.Nổi bật trên tất cả là phương pháp luận về nhận dạng, bao gồm nhận dạng về chất lượng được kiến tạo, về trạng thái tổng hợp sự cố công trình, về dữ kiện tự nhiên cần đầu tư cải tạo để tương thích với mục tiêu dự án.Những trang viết tiếp của tiềm lực và ứng xử thuộc về thế hệ các chuyên gia trẻ ngành xây dựng.Mục lục:Lời tác giảBài 1: Tầm nhìn bao quátBài 2: Các nguyên lý cơ bản tạo ra tiềm lực để kiến tạo chất lượng công trình và xử lý sự cố công trìnhBài 3: Những ý tưởng mới, kỹ thuật và công nghệ mới kiến tạo chất lượng và xử lý sự cố công trìnhBài 4: Một vài nhận thức mới về móng cọc nhà cao tầng 147.Mời bạn đón đọc. ",40.000,,,,,,,,,,,,, 220.00 gam , 14.5x20.5 cm , 8935048971109 , 09/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 192 , Nguyễn Văn Đạt ,,,
367,Xi Măng Và Bê Tông Nặng,https://www.vinabook.com/images/thumbnails/product/240x/21960_p28392.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Lê Bá Cẩn 
                                                                                                                                            Lê Bá Cẩn
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Xi Măng Và Bê Tông Nặng:Bê tông được sử dụng rộng rãi trong xây dựng dân dụng và công nghiệp. Con người đã sử dụng bê tông tạo ra nhiều công trình vĩ đại lưu truyền thế kỷ. Nhiều nhà khoa học, các kỹ sư, chuyên viên kỹ thuật đã nghiên cứu, chế tạo nhiều loại xi măng, nhiều loại bê tông đáp ứng nhu cầu xây dựng trong mọi trường thiên nhiên bình thường và cả khắc nghiệt. Những phát minh sáng chế và kinh nghiệm đã được tổng hợp phổ biến ở nước ngoài nhưng đối với Việt Nam chúng ta thì chưa nhiều, chưa đủ, ít được chuyển ngữ sang Tiếng Việt trong khi nhu cầu đòi hỏi thực tế thì tăng cao như vũ bão.Để phục vụ công việc xây dựng đất nước, góp phần phổ biến tính chất khoa học của bê tông, tác giả cố gắng thu thập, tổng hợp các nguồn tài liệu kỹ thuật sẵn có, cộng với kinh nghiệm, kiến thức được đào tạo và thực tế trong nước, biên soạn thành sách phục vụ bạn đọc, nhằm hỗ trợ sản xuất, phát triển cái mới, phòng tránh các khuyết, nhược điểm trong sản xuất, sử dụng vật liệu bê tông, loại vật liệu mang tính phổ biến nhưng khoa học và phức tạp này.Quyển sách mang tên ""Xi măng và bê tông nặng"", là một cuốn trong bộ sách tác giả dự định viết về ""Bê tông nặng và bê tông nhẹ"".Sách viết được dùng rộng rãi cho cán bộ quản lý chất lượng xây dựng, cho công nhân, học sinh sinh viên học nghể xây dựng, làm tài liệu tham khảo cho cán bộ giảng dạy và nghiên cứu khoa học ở các trường và các viện.Mục lục:Lời nói đầuPhần một: Xi măngChương 1: Cộng nghệ và nguyên liệu sản xuất xi măngChương 2: Nung và nghiền cơ lanh ke ra xi măngChương 3: Thành phần khoáng cơ lạnh ke poóc Lăng xi măng và ảnh hưởng của chúng đến chất lượng xi măng.Chương 4: Ăn mòn đá xi măngChương 5: các loại xi măng sản xuất trong và ngoài nướcPhần hai: Bê tôngChương 1: Loại bê tông và nguyên liệu làm ra bê tôngChương 2: Gia công hỗn hợp bê tôngChương 3: :Một số đặc điểm của bê tông cách xác định cường độ nén bằng thiết bị không phá hoạiChương 4: Các lại bê tông đặc biệtChương 5: Tiết kiệm xi măngChương 6: Tiếp nhận, bảo quản vật tư và an toàn lao động trong sản xuấtPhụ lụcTài liệu tham khảo.Mời bạn đón đọc. ",38.000,,,,,,,,,,,,, 300.00 gam , 16x24 cm , 8935048971710 , 03/2008 , NXB KHKT , NXB Khoa học và kỹ thuật , 256 , Lê Bá Cẩn , Bìa mềm ,,
368,Nguyên Lý Thiết Kế Kiến Trúc Nhà Dân Dụng: Nhà Ở Nhà Công Cộng,https://www.vinabook.com/images/thumbnails/product/240x/20551_p26972.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Nguyễn Đức Thiềm     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nguyên Lý Thiết Kế Kiến Trúc Nhà Dân Dụng: Nhà Ở Nhà Công Cộng:Nội dung sách nhằm cung cấp cho sinh viên những kiến thức bắt đầu chuyên sâu về các loại hình kiến trúc nhà ở và nhà công cộng thông dụng, từ đặc điểm loại hình, lược sử quá trình phát triển, phân loại",72.000,,,,,,,,,,,,, 720.00 gam , 19x27 cm , 8935048970102 , 02/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 440 , Nguyễn Đức Thiềm , Bìa mềm ,,
369,Kỹ Thuật Nhiệt - Dành Cho Sinh Viên Ngành Công Trình,https://www.vinabook.com/images/thumbnails/product/240x/20548_p26969.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Trịnh Văn Quang      Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Kỹ Thuật Nhiệt - Dành Cho Sinh Viên Ngành Công Trình:Nội dung cuốn sách đề cặp đến các nguyên lý và phương pháp tính toán quá trình truyền nhiệt - truyền âm nhằm khảo sát quá trình trao đổi nhiệt - ẩm trong các vật thể và cấu kiện xây dựng. Đồng thời cuốn sách cũng nêu lên ảnh hưởng của các yếu tố khí hậu đến trạng thái nhiệt của chúng, từ đó có thể đánh giá chính xác trạng thái nhiệt - ẩm của các vật thể và các cấu kiện trong các công trình xây dựng.Mục Lục:Phần 1: Lý thuyết truyền nhiệtChương 1: Dẫn nhiệtChương 2: Toả nhiệt đối lưuChương 3: Bức xạ nhiệtChương 4: Truyền chất.Phần 2: Ảnh hưởng của khí hậu tới trạng thái nhiệt của bêtông và vật liệuChương 5: Khí hậu và các yếu tố đặc trưngChương 6: Các thông số đặc trưng tính chất nhiệt ẩm vật liệu xây dựngChương 7: Ảnh hưởng của khí hậu và các yếu tố nhiệt ẩmChương 8: Trạng thái nhiệt dao động của kết cấu.Mời bạn đón đọc. ",39.000,,,,,,,,,,,,, 300.00 gam , 19x27 cm , 8935048972687 , 12/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 176 , Trịnh Văn Quang ,,,
370,Khung Bê Tông Cốt Thép - Tái bản 04/07/2007,https://www.vinabook.com/images/thumbnails/product/240x/20518_p26939.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Lê Bá Huế     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       Trịnh Kim Đạm     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Khung Bê Tông Cốt Thép:Khung nhà một tầng bằng bêtông cốt thép lắp ghép là dạng kết cấu rất hay gặp trong thực tế như nhà công nghiệp một tầng có hoặc không có cầu chạy nhà kho, nhà dâng dụng một tầng như hội trường, rạp chiếu bóng",32.000,,,,,,,,,,,,, 300.00 gam , 19x27 cm , 8935048971123 , 04/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 178 ," Lê Bá Huế , Trịnh Kim Đạm ", Bìa mềm ,,
371,"Cẩm Nang Đầu Tư Xây Dựng Và Đấu Thầu (Tủ Sách Văn Bản Quy Phạm Pháp Luật, Bìa Cứng)",https://www.vinabook.com/images/thumbnails/product/240x/17711_p24119.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Tủ Sách Văn Bản Quy Phạm Pháp Luật 
                                                                                                                                            Tủ Sách Văn Bản Quy Phạm Pháp Luật
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả    
																						Cuốn sách này gồm 4 phần sau:  Phần 1: Quy định pháp luật về đầu tư.  Phần 2: Quy định pháp luật về xây dựng.  Phần 3: Quy định pháp luật về đấu thầu.  Phần 4: Quy định pháp luật về đất đai.Xin trân trọng giới thiệu cùng các bạn. ",352.000,,,,,,,,,,,,, 3093.00 gam , 20.5x29.5 cm ,, 2007 , Fahasa , NXB Tài Chính , 1570 , Tủ Sách Văn Bản Quy Phạm Pháp Luật ,,,
372,Cấu Tạo Kiến Trúc Nhà Dân Dụng,https://www.vinabook.com/images/thumbnails/product/240x/19260_p25677.jpg,Kiến trúc - Xây dựng,," Cấu Tạo Kiến Trúc Nhà Dân Dụng:Cấu tạo kiến trúc nhà dân dụng là kiến thức cơ bản ngành nghề của tất cả những người làm công tác xây dựng cơ bản, từ người kỹ sư và giám sát xây dựng đến các chuyên gia quản lý công trình xây dựng cơ bản, vì thế luôn chiếm một vị trí quan trọng trong cơ cấu hệ thống giáo trình đào tạo của các trường kiến trúc và xây dựng. Trên thực thế, các giáo trình này còn được xem như những cẩm nang tham khảo cần thiết và bổ ích cho những ai quan tâm đến xây dựng và sửa chữa nhà cửa. Cấu tạo kiến trúc vì gắn liền với vật liệu mới và tiến bộ khoa học kỹ thuật của ngành nên việc biên soạn rất khó khăn và rất khó thoả mãn đầy đủ đòi hỏi của thực tế xây dựng ở mọi nơi, mọi lúc",47.000,,,,,,,,,,,,, 480.00 gam , 19x27 cm , 8935048970829 , 04/2007 , NXB KHKT , NXB Khoa học và kỹ thuật , 292 ,, Bìa mềm ,,
373,"Cẩm Nang Kinh Tế Xây Dựng (Tủ Sách Văn Bản Quy Phạm Pháp Luật, Bìa Cứng)",https://www.vinabook.com/images/thumbnails/product/240x/17710_p24118.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Tủ Sách Văn Bản Quy Phạm Pháp Luật 
                                                                                                                                            Tủ Sách Văn Bản Quy Phạm Pháp Luật
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả    
																						Cuốn sách này gồm 4 phần sau:  Phần 1: Lập dự toán và quản lý chi phí xây dựng công trình.  Phần 2: Định mức chi phí xây dựng.  Phần 3: Quản lý và thanh quyết toán vốn đầu tư.  Phần 4: Các bộ định mức dự toán xây dựng công trình.Xin trân trọng giới thiệu cùng các bạn. ",352.000,,,,,,,,,,,,, 2900.00 gam , 20.5x29.5 cm ,, 2007 , Fahasa , NXB Tài Chính , 1470 , Tủ Sách Văn Bản Quy Phạm Pháp Luật ,,,
374,Tiêu Chuẩn Thiết Kế Kết Cấu Xây Dựng (Tiêu Chuẩn Xây Dựng Việt Nam - Bìa Cứng),https://www.vinabook.com/images/thumbnails/product/240x/17708_p24116.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Tiêu Chuẩn Xây Dựng Việt Nam 
                                                                                                                                            Tiêu Chuẩn Xây Dựng Việt Nam
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách gồm các nội dung chính sau:  Phần 1: Tiêu chuẩn thiết kế kết cấu bê tông cốt thép  Phần 2: Tiêu chuẩn thiết kế kết cấu thép  Phần 3: Tiêu chuẩn thiết kế kết cấu gỗ, gạch đá và các loại kết cấu khácXin giới thiệu cuốn sách cùng bạn. ",450.000,,,,,,,,,,,,, 2650.00 gam , 20.5x29.5 cm ,, 2007 , Fahasa , Nxb Giao thông vận tải , 1325 , Tiêu Chuẩn Xây Dựng Việt Nam ,,,
375,"Tiêu Chuẩn Qui Định Chung Về Thiết Kế Xây Dựng (Bộ Sách Tiêu Chuẩn Xây Dựng Việt Nam, Bìa Cứng)",https://www.vinabook.com/images/thumbnails/product/240x/17706_p24114.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Tiêu Chuẩn Xây Dựng Việt Nam 
                                                                                                                                            Tiêu Chuẩn Xây Dựng Việt Nam
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả    
																						Cuốn ""Tiêu Chuẩn Qui Định Chung Về Thiết Kế Xây Dựng"" gồm 3 phần sau:  Phần 1: Tiêu chuẩn bản vẽ xây dựng và kiến trúc.  Phần 2: Tiêu chuẩn thuật ngữ, phân loại công trình và các thông số thiết kế.  Phần 3: Tiêu chuẩn chung về thiết kế.Xin trân trọng giới thiệu cùng các bạn. ",450.000,,,,,,,,,,,,, 3060.00 gam , 20.5x29.5 cm ,, 2007 , Fahasa , Nxb Giao thông vận tải , 1540 , Tiêu Chuẩn Xây Dựng Việt Nam ,,,
376,"Tiêu Chuẩn Thi Công Nghiệm Thu Kết Cấu Thép Và Bê Tông Cốt Thép (Tiêu Chuẩn Xây Dựng Việt Nam, Bìa Cứng)",https://www.vinabook.com/images/thumbnails/product/240x/17705_p24113.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Tiêu Chuẩn Xây Dựng Việt Nam 
                                                                                                                                            Tiêu Chuẩn Xây Dựng Việt Nam
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách này gồm 3 phần sau:  Phần 1: Tiêu chuẩn kỹ thuật thi công kết cấu thép.  Phần 2: Tiêu chuẩn thi công nghiệm thu kết cấu bê tông cốt thép.  Phần 3: Tiêu chuẩn dung sai trong xây dựng.Xin trân trọng giới thiệu cùng các bạn. ",450.000,,,,,,,,,,,,, 2400.00 gam , 20.5x29.5 cm ,, 2007 , Fahasa , NXB Khoa học và kỹ thuật , 1165 , Tiêu Chuẩn Xây Dựng Việt Nam ,,,
377,Hướng Dẫn Lấy Mẫu Và Thử Các Tính Chất Cơ Lý Vật Liệu Xây Dựng,https://www.vinabook.com/images/thumbnails/product/240x/17434_p23841.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    KS. Lê Thuận Đăng 
                                                                                                                                            KS. Lê Thuận Đăng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Hướng Dẫn Lấy Mẫu Và Thử Các Tính Chất Cơ Lý Vật Liệu Xây Dựng:Cuốn :""Hướng Dẫn Lấy Mẫu Và Thử Các Tính Chất Cơ Lý Vật Liệu Xây Dựng"" gồm 22 chương đề cập các vấn đề thường gặp trong công tác thử nghiệm cơ lý vật liệu xây dựng của các Phòng thử nghiệm, các Trung tâm kiểm định chất lượng công trình xây dựng, các cơ sở sản xuất, thi công, nghiên cứu, đào tạo",150.000,,,,,,,,,,,,, 1700.00 gam , 20x28 cm , 8936016010844 , 08/2007 , Quang Minh , Nxb Giao thông vận tải , 696 , KS. Lê Thuận Đăng ,,,
378,Tiêu Chuẩn Thiết Kế Công Trình Xây Dựng (Tiêu Chuẩn Xây Dựng Việt Nam - Bìa Cứng),https://www.vinabook.com/images/thumbnails/product/240x/17702_p24110.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    Tiêu Chuẩn Xây Dựng Việt Nam 
                                                                                                                                            Tiêu Chuẩn Xây Dựng Việt Nam
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả    
																						Cuốn sách gồm các phần sau:  Phần 1: Tiêu chuẩn thiết kế nhà ở và công trình công cộng  Phần 2: Tiêu chuẩn thiết kế công trình công nghiệp, nông nghiệp và thủy lợi  Phần 3: Tiêu chuẩn thiết kế công trình giao thôngXin giới thiệu cuốn sách cùng bạn. ",450.000,,,,,,,,,,,,, 3000.00 gam , 20.5x29.5 cm ,, 2007 , Fahasa , Nxb Giao thông vận tải , 1350 , Tiêu Chuẩn Xây Dựng Việt Nam ,,,
379,HVAC - Ứng Dụng Cho Nhà Cao Tầng,https://www.vinabook.com/images/thumbnails/product/240x/362523_p92460mhvac.jpg,Kiến trúc - Xây dựng,,"  Thông tin tác giả    TS Nguyễn Văn Hạp     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả       ThS Trần Minh Ngọc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     HVAC là một phần trong công trình hiện đại để tạo ra không gian tiện nghi tốt nhất cho con người ở, làm việc, và sinh hoạt trong đó bao gồm điều kiện về nhiệt độ, độ ẩm, và chất lượng không khí.Ngày nay, các công trình cao tầng tại Việt Nam có xu hướng nâng cao chất lượng thông gió và kiểm soát nhiệt động khi vận hành. Do đó đòi hỏi không những các hãng thiết bị liên tục tìm tòi các dòng sản phẩm mới đa dạng để phục vụ thị trường mà đồng thời các kỹ sư thiết kế cũng cần đưa ra giải pháp phù hợp để tư vấn cho khách hàng về công nghệ, chi phí đầu tư cũng như các đơn vị thi công cũng cần bắt kịp xu hướng công nghệ cho lắp đặt và vận hành thử.Cuốn sách phù hợp với kỹ sư MEP và các hãng cung cấp thiết bị-vật tư MEP muốn nắm bắt thị trường xây lắp tại Việt Nam.Mời bạn đón đọc. ",109.000,,,,,,,,,,,,, 275.00 gam , 19 x 27 cm , 9786047378104 , 23/10/2020 , Tác giả Trần Minh Ngọc , Nxb Đại học Quốc gia TPHCM , 224 ," TS Nguyễn Văn Hạp , ThS Trần Minh Ngọc ", Bìa mềm , Tiếng Việt ,
