tên sách,ảnh bìa,thể loại,nội dung tóm tắt,giá bìa,kích thước,ngày xuất bản,dịch giả,nhà phát hành,nhà xuất bản,số trang,tác giả,loại bìa
Đế Chế SM (Tặng Kèm Photobook - Số Lượng Có Hạn),https://www.vinabook.com/images/thumbnails/product/240x/344272_p88303mdeche.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Kim Dong Hwan     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Sách tặng kèm: 1 photobook 28 trang có hình ảnh của các nghệ sĩ của SM như H.O.T, BoA, DBSK, Super Junior, EXO, SNSD… in full màu.***Lịch sử của SM bất cứ ai cũng phải thừa nhận chính là lịch sử của Lee Soo Man. Đó là lịch sử nửa đời của ông và lịch sử của những người đã cùng ông trải qua những năm tháng đó. Tuy có lúc vấp phải thất bại hay rơi vào khủng hoảng trầm trọng, song vượt qua tất cả, ông vẫn vững vàng chèo lái con thuyền SM tới thành công, trở thành một trong bốn công ty giải trí hàng đầu Hàn Quốc hiện nay. SM cũng là công ty quản lý của các nhóm nhạc, ca sĩ hàng đầu của làng giải trí Hàn Quốc, những người đi đầu cho làn sóng Hallyu như H.O.T, BoA, DBSK, Super Junior, SNSD, SHINee, EXO,… Hy vọng độc giả sau khi đọc cuốn sách này có thể hiểu, đánh giá các giá trị của Lee Soo Man từ góc độ khách quan và hơn hết là hiểu hơn về các nghệ sĩ trực thuộc SM.Mời bạn đón đọc. ",149.0, 13 x 19 cm , 07/08/2019 , Thanh Tâm , AZ books , NXB Dân Trí ,192.0, Kim Dong Hwan , Bìa cứng 
Tâm - Chân Dung,https://www.vinabook.com/images/thumbnails/product/240x/340848_p87933mtam.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Quốc Bảo 
                                                                                                                                            Quốc Bảo
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Tâm - Chân dung khắc họa một Mỹ Tâm chân thành, nồng nhiệt, dấn thân và đầy sức sống, sức sáng tạo trong những câu chuyện tưởng chừng tản mạn. Bức chân dung ấy không chỉ làm đầy sự ngưỡng mộ bạn đã dành cho Mỹ Tâm, mà còn có thể truyền trao một nguồn cảm hứng đặc biệt.Phía sau chân dung một ngôi sao nhạc trẻ, quyển sách này hé lộ nhiều khoảng sáng, khoảng tối của đời sống showbiz, thế giới biểu diễn mà đôi khi, từ hàng ghế khán giả, bạn chẳng thấy gì ngoài vẻ mê hoặc của hào quang lấp lánh.Thế giới âm nhạc muôn màu và sống động dưới ngòi bút của Quốc Bảo, một người đứng sau rất nhiều hiện tượng và hiểu rõ đâu là điều còn lại, đâu là thứ lao xao chóng vánh của những trào lưu hời hợt.Mời bạn đón đọc. ",219.0, 14 x 20.5 cm , 01/07/2019 ,, Phanbook , NXB Văn hóa - Văn nghệ ,228.0, Quốc Bảo , Bìa mềm 
BTS - Con Đường Khẳng Định Chính Mình (Kèm Quà Tặng - Số Lượng Có Hạn),https://www.vinabook.com/images/thumbnails/product/240x/323782_p85704mb1.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Gu Ja Hyoung     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Kèm quà tặng (Số lượng có hạn):- 1 postcard plastic (nhựa trong) có chữ ký của 1 trong 7 thành viên của nhóm (random)- 1 poster size 44x34 cm gồm 7 thành viên của BTS- 3 bookmark***Nhắc tới BTS hẳn ai cũng sẽ nhớ đến một nhóm nhạc tài năng và đầy triển vọng. nhưng đâu phải ai cũng biết rằng đằng sau đó là cả một con đường dài và đầy chông gai mà 7 chàng trai đã phải vượt qua để khẳng định chính mình.Con đường để dẫn đến thành công ngày hôm nay của BTS không phải là con đường trải đầy hoa hồng, họ đã phải đánh đổi máu, mồ hôi và nước mắt. Để rồi khi vượt qua tất cả BTS đang từng bước tiến tới giấc mơ của chính mình, thu phục khán giả bằng những màn biểu diễn chất lượng và những bài hát với các thông diệp sâu sắc.BTS luôn viết lời bài hát về cuộc sống của bản thân những câu chuyện về tuổi trẻ, khát khao, hy vọng và giấc mơ của họ một cách tự do và cởi mở. Họ tìm kiếm tiếp điểm với xã hội, học cách truyền tải thông điệp của mình tới fan hâm mộ, dùng những câu ca, bài hát. để chia sẻ tình cảm và suy nghĩ với thế giới, từng chút, từng chút một tôi luyện và tự mình vươn lên.BTS đã, đang và sẽ sống một cuộc sống hòa mình trong âm nhạc, một cuộc sống mà không ai có.Mời bạn đón đọc. ",156.0, 13 x 19 cm , 12/2018 , Minh Thùy , AZ books , NXB Thanh Niên ,214.0, Gu Ja Hyoung , Bìa cứng 
Audrey Hepburn - Nàng Thơ Của Tôi,https://www.vinabook.com/images/thumbnails/product/240x/327871_p86242mscan0001.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Bertrand Meyer-Stabley     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Audrey Hepburn - Quý cô thanh lịch nhất HollywoodNhiếp ảnh gia nổi tiếng Cecil Beaton từng viết: ""Trước chiến tranh, không ai mặc như Audrey Hepburn. Ngày nay, hàng triệu người bắt chước bà"".Hẳn cô gái nào lấy sự thanh lịch làm kim chỉ nam cho phong cách cũng đem lòng yêu mến nàng thơ Audrey, bởi lối ăn vận đơn giản nhưng vô cùng trang nhã và tinh tế, cùng thần thái tự tin, thanh lịch không gắng gượng.Thời báo New York  từng nhận xét: ""Chính bởi Audrey Hepburn, 50% các cô gái trẻ không còn nhồi bông vào su-chiêng để làm nở ngực và cưỡi lênh khênh trên những đôi giày cao gót nữa."" . Nhỏ nhắn, mảnh mai, Hepburn sở hữu thân hình hoàn toàn trái ngược với vẻ đẹp đầy đặn, gợi cảm đang thịnh hành. Tuy nhiên, sự khác biệt không làm cho Hepburn tự ti mà ngược lại bà đã biến đặc điểm này trở thành điều mà mọi người luôn ghi nhớ. Hình ảnh của bà - cô gái có mái tóc pixie, ăn vận lúc thanh lịch, khi nữ tính, hiện đại trở thành biểu tượng thời trang được nhiều phụ nữ Pháp ngưỡng mộ.Audrey Hepburn - Một huyền thoại của Hollywood  với trái tim nhân áiKhông phải bàn cãi gì nhiều, Audrey là một trong những ngôi sao vĩ đại nhất của điện ảnh Hollywood, là một trong những diễn viên hiếm hoi giành cả 4 giải danh giá là Oscar, Emmy, Grammy và Tony. Với chiếc váy đen bó sát, đôi găng tay đen dài, chuỗi ngọc trai và chiếc tẩu thuốc, Audrey Hepburn là cái tên đã đi vào lịch sử điện ảnh và thời trang.Thế nhưng, ẩn sau vẻ hào nhoáng đó, ít người biết,  cô gái với thân hình nhỏ bé ấy cũng từng trải qua những năm tháng chiến tranh khốc liệt, những bước đi chập chững vào đời, những truân chuyên của cuộc sống thường nhật.Sinh ra trong thời chiến tranh, thấu hiểu nỗi vất vả của những mảnh đời bất hạnh, Audrey đã sớm dành phần lớn thời gian cho công việc thiện nguyện. Bà từng có câu nói « Khi bạn đủ lớn, bạn sẽ nhận ra mình có 2 bàn tay: 1 để tự giúp bản thân và 1 để giúp những người khác.”  Ngay cả ở những năm tháng cuối cùng của cuộc đời, bà cũng hết lòng với công việc là một đại sứ thiện chí của UNICEF.Mời bạn đón đọc. ",119.0, 16 x 24 cm , 02/2019 , Yến Linh , AZ books , Nxb Thế giới ,384.0, Bertrand Meyer-Stabley , Bìa mềm 
Hát Lời Cho Quả Sai - Chân Dung Văn Nghệ,https://www.vinabook.com/images/thumbnails/product/240x/283093_p78568mhatloi.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Hồ Huy Sơn  Sinh năm 1985, hiện đang làm trong lĩnh vực báo chí và truyền thông.Từng đoạt giải Nhất văn báo Thiếu niên tiền phong năm 2004 và nhiều giải thưởng khác.Xuất bản khá nhiều tác phẩm như Thả chim về trời, Con diều ngược gió, Rồi lẻ loi như gió…     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nghệ sĩ trong mắt nhiều người vẫn luôn là hình ảnh lộng lẫy; đôi khi họ mờ ảo như một giấc mộng. Thực chất, nghệ sĩ - họ là ai? Họ đang có những niềm riêng nào? Có đúng nghệ sĩ là những người đa đoan?",65.0, 15 x 23.5 cm , 12/2017 ,, NXBTH TPHCM , Nxb Tổng hợp TP.HCM ,192.0, Hồ Huy Sơn , Bìa mềm 
Người Nổi Tiếng: Khuôn Mặt Rubic,https://www.vinabook.com/images/thumbnails/product/240x/36740_43283.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Từ Nữ Triệu Vương 
                                                                                                                                            Từ Nữ Triệu Vương
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Những nghệ sỹ nổi tiếng thường xuất hiện trước công chúng trong ánh hào quang của danh vọng, tiền tài",59.0, 13 x 20.5 cm , 03/2011 ,, Alpha books , NXB Thời Đại ,304.0, Từ Nữ Triệu Vương , Bìa mềm 
35 Chuyện Tình Nghệ Sĩ,https://www.vinabook.com/images/thumbnails/product/240x/276756_p77749m35chuyen.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Hà Đình Nguyên     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Là những câu chuyện có thực và những giai thoại về những người tình trong đời hoặc thoáng bên đời của các nghệ sĩ. Những mối tình đó đã là nguồn cảm hứng bất tận cho người nghệ sĩ để tạo nên những bài thơ, những bài hát sống mãi cùng năm tháng và tạo nên những rung cảm sâu sắc nơi người đọc, người nghe. 35 chuyện tình nghệ sĩ trong sách là 35 câu chuyện tình khác nhau, với nhiều người tình khác nhau, có người tình đã xa cách vòng trái đất, có người tình biền biệt phương nào, có người tình trọn kiếp bên nhau. Đó là những nhạc sĩ Phạm Duy, Lam Phương, Châu Kỳ… nhà thơ Hoàng Cầm, Hữu Loan…Mời bạn đón đọc. ",145.0, 15.5 x 23 cm , 10/2017 ,, NXB Trẻ , Nxb Trẻ ,436.0, Hà Đình Nguyên , Bìa mềm 
Tấm Và Hoàng Hậu,https://www.vinabook.com/images/thumbnails/product/240x/342869_p88128mtamva.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Nguyễn Phát     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Đánh thức quyền lựcKhi đưa Tấm và Hoàng hậu của Đội kịch CKT, Trường Đại học Khoa học Xã hội và Nhân văn (Đại học Quốc gia TP. Hồ Chí Minh), về sân khấu kịch Hồng Hạc để biểu diễn chuyên nghiệp, nhiều người cho rằng tôi liều lĩnh. Tôi thì nghĩ khác. Thứ nhất, tiêu chí của Hồng Hạc là chia sẻ đam mê, đồng hành cùng những ý tưởng hay của người trẻ. Thứ hai, nghệ thuật là sáng tạo chủ yếu dựa vào chiêm nghiệm thực tế và cảm xúc thẩm mỹ. Kỹ thuật bổ túc được, nhưng cảm xúc, thẩm mỹ là chuyện của trái tim và văn hóa. Ý tưởng Tấm và Hoàng hậu của Nguyễn Phát rất thông minh, nhân văn.Khởi hứng từ truyện cực ngắn Tấm khóc, Bụt hiện ra của nhà văn Nhật Chiêu:“Lóc thịt Cám làm mắm xong, Tấm chợt nhìn thấy Bụt bèn hỏi: Tại sao Bụt dám khóc trước mặt ta?”, Nguyễn Phát đã gợi suy một vấn đề không có trong tích cổ, dựng nên giả thiết về phạm trù đạo đức nội tại, khi lòng ham muốn quyền lực đã tàn phá trái tim trong sáng của nàng Tấm. Đó là một ý tưởng mạo hiểm, hợp thời và sâu sắc.Nghệ thuật đòi hỏi sự cân bằng giữa tư tưởng và phương pháp truyền tải, biên kịch Nguyễn Phát, ngay từ ngôn ngữ, đã tạo ra những không khí rộng hơn không gian sàn diễn: “Trời về chiều quang đãng, một khúc đê dài băng ngang đồng gặt sau mùa lúa. Phía đình vang thanh hội lớn, không khí rộn rực âm vọng không gian. Lá gió xào xạc lùa qua mấy bụi tre dọc theo đường đất. Một thiếu niên độ chừng mười hai tuổi, bộ dạng hoạt bát, nhân diện sáng sủa, vận áo dài buộc đai gọn gàng, đang cắm đầu chạy, rồi chợt dừng lại thở dốc. Cậu là Thái tử đang bỏ trốn khỏi hội đình kén vợ cho chính mình”. Nhưng đó không phải là thế mạnh nhất của kịch bản, chưa nói những miêu tả tỉ mỉ trong kịch bản không quá cần thiết. Thế mạnh của Tấm và Hoàng hậu là thoại, vừa đậm sắc cổ ngôn, vừa uyển hoạt, duyên dáng: “Con cò núp bụi tre xanh. Chờ con cá đến như anh chờ nàng. Con cò núp bụi lúa vàng. Chờ con cá đến như nàng chờ anh…”. Điểm mạnh khác trong văn miêu tả của Nguyễn Phát là gợi hình, gợi âm, gợi thủ pháp dàn dựng. Thí dụ cảnh Tấm giết Cám, và từ đó cũng “giết” luôn cô Tấm hiền dịu trong bản thân:“Tấm đẩy mạnh Cám xuống chậu tắm. Cám hét lên thất thanh, quằn quại trong đau đớn rồi dần chìm sâu. Tiếng trống dồn dập, tiếng rì rầm đồng thanh vang lên từ tứ phía:“Muốn tranh chồng chị, thì tranh cho khéo. Bằng mà không khéo. Chị xé xác ra”. Gương mặt Tấm chuyển sang thất thần, run rẩy, hết nhìn xuống làn nước nghi ngút khói rồi lại nhìn hai bàn tay mình. Mắt Tấm dần trở nên trống rỗng. Bỗng nhiên, từ phía sau bục cao trồi lên một nhân dạng trong bộ phục trang y hệt Tấm, đứng sát sau nàng. Tiếng trống dần lên cao trào với âm điệu dữ dội và rùng rợn. Nhân dạng đó cùng Tấm hoán đổi vị trí. Tấm biến mất, kẻ kia đội lấy hoàng mấn của Tấm, tay cầm dải lụa đỏ của Cám. Ánh sáng từ từ soi rõ một gương mặt sắc sảo nhưng độc ác. Bộ y phục giống hệt Tấm lúc này hiện rõ màu đen sẫm cùng họa tiết quyền lực lộng lẫy gấp bội phần. Ả ta nhẹ nhàng thả tấm lụa xuống chậu nước rồi điềm nhiên nhìn thẳng, trừng mắt vô hồn, chậm rãi nói như lên đồng: “Kể từ bây giờ, Ta là Hoàng hậu.”Hai năm kể từ khi Tấm và Hoàng hậu diễn ở Hồng Hạc đến quyển sách này, thời gian đủ dài để Nguyễn Phát hiệu đính hoàn chỉnh hơn kịch bản gốc. Phát vốn học ngôn ngữ nên dụng công khá chuẩn ngôn ngữ, nhưng cũng từ ưu thế đó mà đôi khi đối thoại hơi dài cho sân khấu. Nhưng đó là chuyện về sau, cuốn sách ta cầm trên tay là câu chuyện mới lạ, lôi cuốn, giàu tính triết; nó khiến ta liên tưởng nhiều dị bản thế nhân: Có những thứ viên thành tuyệt đẹp nhưng ta không biết trân giữ, đến khi đối diện mất mát thì cuống cuồng níu kéo, gây thêm hệ lụy, tiêu vong bản chất. Tôi tin thông điệp “đánh thức quyền lực” của kịch bản sẽ khiến nhiều “Hoàng hậu” tự vấn.Đầu sách Nguyễn Phát ghi “Tìm kiếm chính mình là hành trình cô độc nhất”, nhưng trong cuộc tìm kiếm Tấm và Hoàng hậu, Nguyễn Phát nhất định có nhiều người chia sẻ.Đạo diễn VIỆT LINHMời bạn đón đọc. ",89.0, 12.5 x 19.5 cm , 06/2019 ,, NXB Văn Hóa Văn Nghệ , NXB Văn hóa - Văn nghệ ,112.0, Nguyễn Phát , Bìa mềm 
101 Bộ Phim Việt Nam Hay Nhất,https://www.vinabook.com/images/thumbnails/product/240x/318510_p85034mscan0001.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Lê Hồng Lâm     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Có một câu đầu lưỡi của không ít người Việt, trong đó có những người mang học vấn cao và gu văn hóa trên trung bình: “Phim Việt Nam là tôi không xem”. Một câu nói nghe hùng hồn. Song, nghĩ kỹ, đó là một thái độ nông cạn và thô bạo chẳng khác gì “hễ đã đi tù một lần thì không bao giờ là người lương thiện”.Những bộ phim Việt Nam đặc sắc nhất - phần lớn được nhắc tên trong cuốn sách này - là những giá trị tinh thần, những cái đẹp mà một số người Việt, bất chấp những khó khăn và câu thúc của hoàn cảnh khách quan, đã có thể làm ra, với toàn bộ tâm huyết và lòng dũng cảm.Hiểu và yêu phim Việt cũng giống như hiểu và yêu một người không phải vì người đó vốn dĩ đã hoàn hảo, mà vì người đó đã nỗ lực đạt gần tới chỗ hoàn hảo trong khả năng có thể, và mang tiềm năng cho sự hoàn hảo trong tương lai.Mời bạn đón đọc. ",210.0, 15.5 x 21 cm , 10/2018 ,, Nhã Nam , Nxb Thế giới ,492.0, Lê Hồng Lâm , Bìa mềm 
Góc Phố Danh Vọng,https://www.vinabook.com/images/thumbnails/product/240x/300225_p81713mgocpho.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Nguyễn Phi Phi Anh (PPAN)     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Góc phố danh vọng bao gồm ba tác phẩm sân khấu đã trình diễn và tạo được tiếng vang của tác giả, đạo diễn, nhà sản xuất trẻ Nguyễn Phi Phi Anh (PPAN): Góc phố danh vọng, Đêm hè sau cuối, Mộng ước không xa vời.Mời bạn đón đọc. ",130.0, 13 x 20 cm , 03/2018 ,, NXB Trẻ , Nxb Trẻ ,320.0, Nguyễn Phi Phi Anh (PPAN) , Bìa mềm 
Giấy Không Gói Được Than Cháy Dở,https://www.vinabook.com/images/thumbnails/product/240x/293965_p80200mbiatruoc.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Việt Linh    
                                                                                                                                                Đạo diễn Việt Linh sinh 1952 tại Sài Gòn, tốt nghiệp Khoa Đạo diễn Đại học Điện ảnh VGIK (Liên bang Xô Viết) niên khóa 1980 – 1985, hiện sinh sống và làm việc tại Pháp.Từ năm 1971, bà tham gia hoạt động điện ảnh với vai trò dựng phim, biên tập, biên kịch và là đạo ",85.0, 14 x 20 cm , 01/2018 ,, NXB Văn Hóa Văn Nghệ , NXB Văn hóa - Văn nghệ ,300.0, Việt Linh , Bìa mềm 
Nghệ Thuật Âm Nhạc Việt Nam - Tìm Hiểu Nhã Nhạc Triều Nguyễn,https://www.vinabook.com/images/thumbnails/product/240x/292327_p79960mp74290m020.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Vĩnh Phúc     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nghệ Thuật Âm Nhạc Việt Nam – Tìm Hiểu Nhã Nhạc Triều Nguyễn Cuốn sách được tác giả đúc kết sau nhiều năm nghiên cứu, cung cấp tới bạn đọc những thông tin cơ bản về nghệ thuật Nhã nhạc cung đình triều Nguyễn và giới thiệu một số bài ký âm tiêu biểu trong hệ thống nhạc lễ cung đình giúp độc giả nắm bắt và tìm hiểu.Mời bạn đón đọc. ",78.0, 13 x 20.5 cm , 03/2017 ,, Thăng Long , Nxb Quân đội nhân dân ,300.0, Vĩnh Phúc , Bìa mềm 
Nghệ Thuật Âm Nhạc Việt Nam - Ca Trù Nhìn Từ Nhiều Phía,https://www.vinabook.com/images/thumbnails/product/240x/292272_p79952mp74285mimg029.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Nguyễn Đức Mậu 
                                                                                                                                            Nguyễn Đức Mậu
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nghệ Thuật Âm Nhạc Việt Nam – Ca Trù Nhìn Từ Nhiều Phía Ca trù đã từng hấp dẫn các tao nhân mặc khách, những bậc trí thức danh tiếng của nhiều thời đại. Ca trù cũng hấp dẫn  các nhà nghiên cứu âm nhạc, nghiên cứu văn học, văn hóa. Sản phẩm của sự hấp dẫn đó đã tạo ra không chỉ có hàng dãy dài thư mục ca trù trong kho sách Hán Nôm, mà còn cả dãy dài các chuyên luận, các công trình nghiên cứu ca trù. Cuốn sách “Ca trù nhìn từ nhiều phía” là một sản phẩm của những công trình nghiên cứu đóMời bạn đón đọc. ",71.0, 13 x 20.5 cm , 03/2017 ,, Thăng Long , Nxb Quân đội nhân dân ,272.0, Nguyễn Đức Mậu , Bìa mềm 
Film Book: Khi Chúng Ta Là Nhân Vật Chính,https://www.vinabook.com/images/thumbnails/product/240x/285424_p78934mbiatruoc.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Bùi Dũng 
                                                                                                                                            Bùi Dũng
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Film Book: Khi chúng ta là nhân vật chính của Bùi Dũng là một cuốn sách kỳ lạ. Không phải ngẫu nhiên mà có đến gần 20 người nổi tiếng cùng đọc và dành cơn mưa lời khen đến cuốn sách này. Một cuốn sách viết về phim có gì thu hút đến vậy? Với 3 phần chính Cảm hứng sống, Cảm hứng yêu, Cảm hứng nghề nghiệp, cùng 1 phần mở rộng Mở cửa điện ảnh – Bước ra thế giới và các phụ chương xem phim theo mùa, gợi ý nhỏ về các bộ phim lớn, Film Book hệt như một CUỐN CẨM NANG phim dành cho tất cả mọi người – nơi mà chỉ cần mở sách ra, chắc chắn bạn sẽ chọn được cho mình một bộ phim phù hợp.Với Film Book, bạn có thể tìm thấy trang viết vừa nồng nhiệt, vừa tỉnh táo về gần 60 bộ phim bao trùm lên mọi thể loại - từ những bộ phim đang cực hot đến các tác phẩm điện ảnh kinh điển, từ những bộ phim yêu đương lãng mạn đến những bộ phim tâm lý “nặng ký” có thể khiến bạn ám ảnh không ngừng… Tất cả, được Bùi Dũng “chắt chiu và nghiêm cẩn”, bằng tất cả sự quan sát và chiêm nghiệm của bản thân, để giúp người đọc trong hành trình mở cánh cửa bước vào thánh đường điện ảnh.Đọc những gì Bùi Dũng viết, chính là bạn đang thấy một góc nhìn lạ, tiếp cận một ý tưởng lạ về một bộ phim tưởng chừng quen thuộc. Hay nói như nhạc sĩ Dương Thụ: “Những gì trong Dũng được đánh thức, được nhìn ra, sự cộng hưởng và phát lộ những cảm xúc từ phim, nhờ phim đều được Dũng chia sẻ chân tình. Những chia sẻ rất cá nhân cộng với vốn hiểu biết phong phú về phim mà anh đã dày công thu nhận là một quà tặng quý báu chonhững ai mê phim, hoặc mới bắt đầu bước vào thế giới đầy mê hoặc của nghệ thuật thứ bảy.” Không chỉ gây thú vị về nội dung, Film Book còn khiến bạn đặc biệt tò mò bởi đây là CUỐN SÁCH TƯƠNG TÁC NGHỆ THUẬT ĐẦU TIÊN tại Việt Nam – Một cuốn sách không - chỉ - để - đọc, mà còn có thể thỏa sức tô màu sáng tạo, đồng thời, với sự kết hợp công nghệ thực tế ảo (AR), cuốn sách đặc biệt này còn cho bạn trải nghiệm về việc… XEM PHIM ngay trên sách.Quyết định mở từng trang Film Book, tức là bạn đã quyết định bước vào một thế giới diệu kỳ đa sắc với biết bao nhiêu tác phẩm điện ảnh đa dạng trải khắp từ Tây sang Đông, và chia sẻ quan điểm cùng tác giả qua gần 60 bài bình luận kỳ công. Cầm cuốn Film Book trên tay, bạn sẽ không phải đọc những ý tưởng khô khan trên trang giấy dày đặc chữ nữa. Thay vào đó, những con chữ, những hình ảnh sống động sẽ nhảy múa ngay trước mắt bạn. Và từ đó, cánh cửa điện ảnh mở ra.Mời bạn đón đọc.  
                                                                   Báo chí giới thiệu
                                                                ",129.0, 19 x 24 cm , 01/2018 ,, AZ books , Nxb Thế giới ,240.0, Bùi Dũng , Bìa mềm 
Nghệ Thuật Kể Chuyện Của Pixar,https://www.vinabook.com/images/thumbnails/product/240x/269975_p76870m010.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Dean Movshovitz     Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Nghệ thuật kể chuyện của Pixar theo chân Dean Movshovitz, một nhà biên kịch tài năng, tìm hiểu những bí mật đằng sau phong cách kể chuyện tài tình và đậm sâu dấu ấn riêng của ông trùm lớn nhất trong làng phim hoạt hình.Các tác phẩm của Pixar không chỉ gây choáng ngợp nhờ hiệu ứng âm thanh, hình ảnh, mà còn tác động sâu sắc tới trái tim người xem, ngay từ những viên gạch đầu tiên đặt nền móng cho mọi bộ phim, cho tới khi phát triển nhân vật, xây dựng cao trào và mở nút giải quyết câu chuyện, dường như Pixar luôn biết ""chọn mặt gửi vàng"" - đưa ra được những tình tiết vô cùng hợp lý, hấp dẫn, và dễ đồng cảm.Những bí quyết của Pixar sẽ được hé lộ qua góc nhìn và sự phân tích ngắn gọn, mạch lạc của tác giả. Đây thực sự là một quyển sách không thể thiếu cho các tín đồ của Pixar, những người yêu thích phim ảnh và bất kỳ ai muốn tìm hiểu về sự thành công của đế chế hoạt hình hùng mạnh này.Mời bạn đón đọc. ",82.0, 13 x 19 cm , 08/2017 , Mto Trần , AZ books , Nxb Thế giới ,208.0, Dean Movshovitz , Bìa mềm 
"Nghệ Thuật Sân Khấu: Hát Bội, Đờn Ca Tài Tử Và Cải Lương Ở Sài Gòn Và Nam Kỳ Cuối Thế Kỷ XIX Đến 1945",https://www.vinabook.com/images/thumbnails/product/240x/271986_p77185mnghethuatsankhauhatboicailuong.jpg,Sân khấu - Điện ảnh ,"  Thông tin tác giả    Nguyễn Đức Hiệp 
                                                                                                                                            Nguyễn Đức Hiệp
                                                                   Vào trang riêng của tác giả   Xem tất cả các sách của tác giả     Cuốn sách Nghệ Thuật Sân Khấu: Hát Bội, Đờn Ca Tài Tử Và Cải Lương Ở Sài Gòn Và Nam Kỳ Cuối Thế Kỷ XIX Đến 1945 phác họa cho độc giả thấy bối cảnh và sự phát triển của các loại hình nghệ thuật sân khấu như hát bội, nhạc tài tử, ca ra bộ, cải lương và sự phong phú của lịch sử nghệ thuật sân khấu ở Sài Gòn nói riêng và Nam Kỳ nói chung trong giai đoạn cuối thế kỷ XIX đến 1945.Nguyễn Đức HiệpSinh trưởng ở Sài gòn.Qua Úc du học năm 1974 theo Quỹ học bổng Colombo.Hiện là chuyên gia khoa học về khí quyển ở Bộ Môi trường và Di sản, tiểu bang New South Wales, Australia.Từ nhiều năm qua làm việc và cộng tác với các nhà nghiên cứu ở Việt Nam trong lãnh vực môi trường, biến đổi khí hậu và bảo tồn di sản văn hóa.Tác giả nghiên cứu nhiều bài viết về lịch sử, khoa học, văn hóa cho các báo, tạp chí chuyên môn và phổ thông trong và ngoài nước.Sách đã xuất bản: Sài Gòn – Chợ Lớn qua những tư liệu quý trước 1945; Sài Gòn – Chợ Lớn, Ký ức đô thị và con người; Sài Gòn - Chợ Lớn, Thể thao và báo chí trước 1945; Thiên nhiên kỳ diệu hay thảm họa; Nghệ thuật sân khấu: hát bội, đờn ca tài tử và cải lương ở Sài Gòn và Nam kỳ cuối thế kỷ XIX đến 1945.Nghệ thuật sân khấu: hát bội, đờn ca tài tử và cải lương ở Sài Gòn và Nam kỳ cuối thế kỷ XIX đến 1945Nghệ thuật sân khấu: Hát bội, đờn ca tài tử và cải lương ở Sài Gòn và Nam Kỳ cuối thế kỷ XIX đến 1945 trình bày một số sự kiện trong lãnh vực văn hóa từ năm 1861 lúc người Pháp chiếm được Sài Gòn cho đến khi Việt Nam độc lập năm 1945. Sài Gòn là vùng đất mới gồm đủ loại thành phần các lưu dân và là nơi bị ảnh hưởng của Tây phương đầu tiên. Văn hóa nghệ thuật sân khấu, sinh hoạt xã hội, kinh tế thay đổi nhanh chóng vào đầu thế kỷ XX khi một hình thái mới của nghệ thuật sân khấu là cải lương phát triển nhanh chóng từ sự tổng hợp của hát bội, đờn ca tài tử và nghệ thuật kịch nói Tây phương. Hai thập niên đầu thế kỷ XX chứng kiến sự ra đời của rất nhiều sách dịch ra quốc ngữ hay sáng tác các tuồng hát bội, bài ca tài tử từ các nhà xuất bản, nhà in mà đa số là do người Việt làm chủ như Đinh Thái Sơn, Nguyễn Văn Của, Nguyễn Văn Viết, Huỳnh Kim Danh",125.0, 16 x 24 cm , 09/2017 ,, NXB Văn Hóa Văn Nghệ , NXB Văn hóa - Văn nghệ ,208.0, Nguyễn Đức Hiệp , Bìa mềm 
